FIPS,LACCESS_POP10,LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15
1001,18428.43969,17496.69304,5344.427472,6543.676824,664.2164872,677.6727692
1003,35210.81408,30561.26443,9952.144027,9886.831137,1571.779915,1394.162766
1005,5722.305602,6069.523628,3135.676086,2948.790251,406.1423722,425.1449274
1007,1044.867327,969.378841,491.4490662,596.1628288,275.060875,224.3881246
1009,1548.175559,3724.428242,609.0277084,1650.959482,705.4667827,719.931444
1011,4089.983548,4141.900365,2199.359828,2154.7893,272.8442583,415.8613008
1013,1307.819706,1304.328756,593.2251386,612.9347608,395.0316718,320.168301
1015,30901.15059,27785.98677,11909.16286,10883.20997,1252.150186,1235.289629
1017,6748.213223,7131.505717,3018.284747,3533.916216,616.6968134,730.2010667
1019,79.41023456,103.5224989,34.48386235,57.46490172,378.7374593,299.8869228
1021,1456.677891,1469.89911,736.9575767,637.4195275,499.8050984,641.1107684
1023,2612.253868,2702.895199,1611.534003,1010.379176,380.7032748,423.0366236
1025,5060.660983,5712.926332,2901.694996,2881.596829,752.0063502,943.7213259
1027,742.7716979,642.7409199,268.7410821,324.1809049,186.3709324,192.8890387
1029,146.8634959,789.5351429,80.38999127,310.177285,208.8075708,209.2639517
1031,11395.3204,10486.08598,3708.844615,2987.491344,884.1118849,543.2931099
1033,9519.551153,11095.6663,2770.284911,3565.961744,532.4915335,682.2699334
1035,3725.78157,3558.35944,1955.507812,1750.034804,372.4612989,325.6632103
1037,2837.242738,2828.930334,752.8597844,1168.301536,169.1496671,280.1719889
1039,3334.140948,3769.122248,1150.606434,1650.453898,663.0434589,512.5427244
1041,5383.8864,5278.966487,2202.067047,2369.451736,372.7253655,250.8755645
1043,6295.387759,5900.270202,2535.502139,2500.310001,985.3201156,1050.953043
1045,13846.95984,14036.97012,5167.723678,5306.194211,538.9416152,615.0935476
1047,7785.597207,7640.056868,5067.105731,5063.957922,1066.855647,988.8099812
1049,2679.852662,2679.852662,1603.039231,1540.906864,1109.969476,739.9427629
1051,15011.50492,15064.36659,5201.940725,5506.02451,878.8675789,981.2916718
1053,5188.706191,5058.775403,2903.320779,2766.608819,557.9560123,567.5967619
1055,24779.19275,23289.82682,9001.224579,9817.063943,1164.010964,1360.397062
1057,437.5118941,407.3867531,229.2411441,233.5222242,248.0121931,444.9219842
1059,3073.774789,3663.441736,1155.260337,1306.401173,459.4653077,456.15588
1061,605.9970532,605.1933947,249.2305715,249.3572474,182.2589834,253.3625779
1063,3286.514964,2962.991009,1895.323466,1930.426929,301.2159165,314.0422534
1065,87.11485878,1864.54135,35.66001596,732.4471013,506.517277,601.9782979
1067,386.3128906,805.472428,172.8132423,370.6379022,345.8180348,317.6457136
1069,21404.32788,18340.74904,7445.464295,6379.797852,997.4132792,918.3181199
1071,4855.062529,4218.966738,2174.282572,1741.859186,752.3885816,755.9317365
1073,209261.4587,205657.8678,75209.93406,80804.25186,7538.35568,7229.28466
1075,92.38193741,229.9526122,52.19318532,109.3285386,208.631802,238.5561045
1077,14583.69352,12476.09671,5172.541611,4670.748106,902.9577697,1245.422925
1079,1349.438484,1648.244355,564.6905246,728.8412136,465.2305074,473.1504484
