,FIPS,FOODINSEC_12_14,FOODINSEC_15_17,VLFOODSEC_12_14,VLFOODSEC_15_17
0,1001,16.8,16.3,7.2,7.1
1,1003,16.8,16.3,7.2,7.1
2,1005,16.8,16.3,7.2,7.1
3,1007,16.8,16.3,7.2,7.1
4,1009,16.8,16.3,7.2,7.1
5,1011,16.8,16.3,7.2,7.1
6,1013,16.8,16.3,7.2,7.1
7,1015,16.8,16.3,7.2,7.1
8,1017,16.8,16.3,7.2,7.1
9,1019,16.8,16.3,7.2,7.1
10,1021,16.8,16.3,7.2,7.1
11,1023,16.8,16.3,7.2,7.1
12,1025,16.8,16.3,7.2,7.1
13,1027,16.8,16.3,7.2,7.1
14,1029,16.8,16.3,7.2,7.1
15,1031,16.8,16.3,7.2,7.1
16,1033,16.8,16.3,7.2,7.1
17,1035,16.8,16.3,7.2,7.1
18,1037,16.8,16.3,7.2,7.1
19,1039,16.8,16.3,7.2,7.1
20,1041,16.8,16.3,7.2,7.1
21,1043,16.8,16.3,7.2,7.1
22,1045,16.8,16.3,7.2,7.1
23,1047,16.8,16.3,7.2,7.1
24,1049,16.8,16.3,7.2,7.1
25,1051,16.8,16.3,7.2,7.1
26,1053,16.8,16.3,7.2,7.1
27,1055,16.8,16.3,7.2,7.1
28,1057,16.8,16.3,7.2,7.1
29,1059,16.8,16.3,7.2,7.1
30,1061,16.8,16.3,7.2,7.1
31,1063,16.8,16.3,7.2,7.1
32,1065,16.8,16.3,7.2,7.1
33,1067,16.8,16.3,7.2,7.1
34,1069,16.8,16.3,7.2,7.1
35,1071,16.8,16.3,7.2,7.1
36,1073,16.8,16.3,7.2,7.1
37,1075,16.8,16.3,7.2,7.1
38,1077,16.8,16.3,7.2,7.1
39,1079,16.8,16.3,7.2,7.1
40,1081,16.8,16.3,7.2,7.1
41,1083,16.8,16.3,7.2,7.1
42,1085,16.8,16.3,7.2,7.1
43,1087,16.8,16.3,7.2,7.1
44,1089,16.8,16.3,7.2,7.1
45,1091,16.8,16.3,7.2,7.1
46,1093,16.8,16.3,7.2,7.1
47,1095,16.8,16.3,7.2,7.1
48,1097,16.8,16.3,7.2,7.1
49,1099,16.8,16.3,7.2,7.1
50,1101,16.8,16.3,7.2,7.1
51,1103,16.8,16.3,7.2,7.1
52,1105,16.8,16.3,7.2,7.1
53,1107,16.8,16.3,7.2,7.1
54,1109,16.8,16.3,7.2,7.1
55,1111,16.8,16.3,7.2,7.1
56,1113,16.8,16.3,7.2,7.1
57,1115,16.8,16.3,7.2,7.1
58,1117,16.8,16.3,7.2,7.1
59,1119,16.8,16.3,7.2,7.1
60,1121,16.8,16.3,7.2,7.1
61,1123,16.8,16.3,7.2,7.1
62,1125,16.8,16.3,7.2,7.1
63,1127,16.8,16.3,7.2,7.1
64,1129,16.8,16.3,7.2,7.1
65,1131,16.8,16.3,7.2,7.1
66,1133,16.8,16.3,7.2,7.1
67,2013,12.0,11.6,4.3,3.7
68,2016,12.0,11.6,4.3,3.7
69,2020,12.0,11.6,4.3,3.7
70,2050,12.0,11.6,4.3,3.7
71,2060,12.0,11.6,4.3,3.7
72,2068,12.0,11.6,4.3,3.7
73,2070,12.0,11.6,4.3,3.7
74,2090,12.0,11.6,4.3,3.7
75,2100,12.0,11.6,4.3,3.7
76,2105,12.0,11.6,4.3,3.7
77,2110,12.0,11.6,4.3,3.7
78,2122,12.0,11.6,4.3,3.7
79,2130,12.0,11.6,4.3,3.7
80,2150,12.0,11.6,4.3,3.7
81,2164,12.0,11.6,4.3,3.7
82,2170,12.0,11.6,4.3,3.7
83,2180,12.0,11.6,4.3,3.7
84,2185,12.0,11.6,4.3,3.7
85,2188,12.0,11.6,4.3,3.7
86,2195,12.0,11.6,4.3,3.7
87,2198,12.0,11.6,4.3,3.7
88,2220,12.0,11.6,4.3,3.7
89,2230,12.0,11.6,4.3,3.7
90,2240,12.0,11.6,4.3,3.7
91,2261,12.0,11.6,4.3,3.7
92,2270,12.0,11.6,4.3,3.7
93,2275,12.0,11.6,4.3,3.7
94,2282,12.0,11.6,4.3,3.7
95,2290,12.0,11.6,4.3,3.7
96,4001,19.9,17.4,8.1,6.5
97,4003,19.9,17.4,8.1,6.5
98,4005,19.9,17.4,8.1,6.5
99,4007,19.9,17.4,8.1,6.5
100,4009,19.9,17.4,8.1,6.5
101,4011,19.9,17.4,8.1,6.5
102,4012,19.9,17.4,8.1,6.5
103,4013,19.9,17.4,8.1,6.5
104,4015,19.9,17.4,8.1,6.5
105,4017,19.9,17.4,8.1,6.5
106,4019,19.9,17.4,8.1,6.5
107,4021,19.9,17.4,8.1,6.5
108,4023,19.9,17.4,8.1,6.5
109,4025,19.9,17.4,8.1,6.5
110,4027,19.9,17.4,8.1,6.5
111,5001,15.4,13.1,6.2,5.7
112,5003,15.4,13.1,6.2,5.7
113,5005,15.4,13.1,6.2,5.7
114,5007,15.4,13.1,6.2,5.7
115,5009,15.4,13.1,6.2,5.7
116,5011,15.4,13.1,6.2,5.7
117,5013,15.4,13.1,6.2,5.7
118,5015,15.4,13.1,6.2,5.7
119,5017,15.4,13.1,6.2,5.7
120,5019,15.4,13.1,6.2,5.7
121,5021,15.4,13.1,6.2,5.7
122,5023,15.4,13.1,6.2,5.7
123,5025,15.4,13.1,6.2,5.7
124,5027,15.4,13.1,6.2,5.7
125,5029,15.4,13.1,6.2,5.7
126,5031,15.4,13.1,6.2,5.7
127,5033,15.4,13.1,6.2,5.7
128,5035,15.4,13.1,6.2,5.7
129,5037,15.4,13.1,6.2,5.7
130,5039,15.4,13.1,6.2,5.7
131,5041,15.4,13.1,6.2,5.7
132,5043,15.4,13.1,6.2,5.7
133,5045,15.4,13.1,6.2,5.7
134,5047,15.4,13.1,6.2,5.7
135,5049,15.4,13.1,6.2,5.7
136,5051,15.4,13.1,6.2,5.7
137,5053,15.4,13.1,6.2,5.7
138,5055,15.4,13.1,6.2,5.7
139,5057,15.4,13.1,6.2,5.7
140,5059,15.4,13.1,6.2,5.7
141,5061,15.4,13.1,6.2,5.7
142,5063,15.4,13.1,6.2,5.7
143,5065,15.4,13.1,6.2,5.7
144,5067,15.4,13.1,6.2,5.7
145,5069,15.4,13.1,6.2,5.7
146,5071,15.4,13.1,6.2,5.7
147,5073,15.4,13.1,6.2,5.7
148,5075,15.4,13.1,6.2,5.7
149,5077,15.4,13.1,6.2,5.7
150,5079,15.4,13.1,6.2,5.7
151,5081,15.4,13.1,6.2,5.7
152,5083,15.4,13.1,6.2,5.7
153,5085,15.4,13.1,6.2,5.7
154,5087,15.4,13.1,6.2,5.7
155,5089,15.4,13.1,6.2,5.7
156,5091,15.4,13.1,6.2,5.7
157,5093,15.4,13.1,6.2,5.7
158,5095,15.4,13.1,6.2,5.7
159,5097,15.4,13.1,6.2,5.7
160,5099,15.4,13.1,6.2,5.7
161,5101,15.4,13.1,6.2,5.7
162,5103,15.4,13.1,6.2,5.7
163,5105,15.4,13.1,6.2,5.7
164,5107,15.4,13.1,6.2,5.7
165,5109,15.4,13.1,6.2,5.7
166,5111,15.4,13.1,6.2,5.7
167,5113,15.4,13.1,6.2,5.7
168,5115,15.4,13.1,6.2,5.7
169,5117,15.4,13.1,6.2,5.7
170,5119,15.4,13.1,6.2,5.7
171,5121,15.4,13.1,6.2,5.7
172,5123,15.4,13.1,6.2,5.7
173,5125,15.4,13.1,6.2,5.7
174,5127,15.4,13.1,6.2,5.7
175,5129,15.4,13.1,6.2,5.7
176,5131,15.4,13.1,6.2,5.7
177,5133,15.4,13.1,6.2,5.7
178,5135,15.4,13.1,6.2,5.7
179,5137,15.4,13.1,6.2,5.7
180,5139,15.4,13.1,6.2,5.7
181,5141,15.4,13.1,6.2,5.7
182,5143,15.4,13.1,6.2,5.7
183,5145,15.4,13.1,6.2,5.7
184,5147,15.4,13.1,6.2,5.7
185,5149,15.4,13.1,6.2,5.7
186,6001,13.5,11.2,5.1,4.1
187,6003,13.5,11.2,5.1,4.1
188,6005,13.5,11.2,5.1,4.1
189,6007,13.5,11.2,5.1,4.1
190,6009,13.5,11.2,5.1,4.1
191,6011,13.5,11.2,5.1,4.1
192,6013,13.5,11.2,5.1,4.1
193,6015,13.5,11.2,5.1,4.1
194,6017,13.5,11.2,5.1,4.1
195,6019,13.5,11.2,5.1,4.1
196,6021,13.5,11.2,5.1,4.1
197,6023,13.5,11.2,5.1,4.1
198,6025,13.5,11.2,5.1,4.1
199,6027,13.5,11.2,5.1,4.1
200,6029,13.5,11.2,5.1,4.1
201,6031,13.5,11.2,5.1,4.1
202,6033,13.5,11.2,5.1,4.1
203,6035,13.5,11.2,5.1,4.1
204,6037,13.5,11.2,5.1,4.1
205,6039,13.5,11.2,5.1,4.1
206,6041,13.5,11.2,5.1,4.1
207,6043,13.5,11.2,5.1,4.1
208,6045,13.5,11.2,5.1,4.1
209,6047,13.5,11.2,5.1,4.1
210,6049,13.5,11.2,5.1,4.1
211,6051,13.5,11.2,5.1,4.1
212,6053,13.5,11.2,5.1,4.1
213,6055,13.5,11.2,5.1,4.1
214,6057,13.5,11.2,5.1,4.1
215,6059,13.5,11.2,5.1,4.1
216,6061,13.5,11.2,5.1,4.1
217,6063,13.5,11.2,5.1,4.1
218,6065,13.5,11.2,5.1,4.1
219,6067,13.5,11.2,5.1,4.1
220,6069,13.5,11.2,5.1,4.1
221,6071,13.5,11.2,5.1,4.1
222,6073,13.5,11.2,5.1,4.1
223,6075,13.5,11.2,5.1,4.1
224,6077,13.5,11.2,5.1,4.1
225,6079,13.5,11.2,5.1,4.1
226,6081,13.5,11.2,5.1,4.1
227,6083,13.5,11.2,5.1,4.1
228,6085,13.5,11.2,5.1,4.1
229,6087,13.5,11.2,5.1,4.1
230,6089,13.5,11.2,5.1,4.1
231,6091,13.5,11.2,5.1,4.1
232,6093,13.5,11.2,5.1,4.1
233,6095,13.5,11.2,5.1,4.1
234,6097,13.5,11.2,5.1,4.1
235,6099,13.5,11.2,5.1,4.1
236,6101,13.5,11.2,5.1,4.1
237,6103,13.5,11.2,5.1,4.1
238,6105,13.5,11.2,5.1,4.1
239,6107,13.5,11.2,5.1,4.1
240,6109,13.5,11.2,5.1,4.1
241,6111,13.5,11.2,5.1,4.1
242,6113,13.5,11.2,5.1,4.1
243,6115,13.5,11.2,5.1,4.1
244,8001,13.6,9.2,5.2,3.8
245,8003,13.6,9.2,5.2,3.8
246,8005,13.6,9.2,5.2,3.8
