FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17
1001,11.4,13.0,33.0,36.3
1003,9.8,10.4,33.0,36.3
1005,13.6,18.4,33.0,36.3
1007,11.1,14.8,33.0,36.3
1009,11.4,14.1,33.0,36.3
1011,14.9,19.6,33.0,36.3
1013,15.1,17.7,33.0,36.3
1015,14.5,14.9,33.0,36.3
1017,16.1,16.4,33.0,36.3
1019,13.6,13.3,33.0,36.3
1021,10.2,13.3,33.0,36.3
1023,14.7,18.1,33.0,36.3
1025,14.1,16.3,33.0,36.3
1027,13.2,14.6,33.0,36.3
1029,11.0,12.6,33.0,36.3
1031,12.1,15.9,33.0,36.3
1033,13.5,18.7,33.0,36.3
1035,14.5,17.4,33.0,36.3
1037,13.2,17.3,33.0,36.3
1039,13.1,14.7,33.0,36.3
1041,12.6,16.5,33.0,36.3
1043,11.9,14.4,33.0,36.3
1045,13.5,14.1,33.0,36.3
1047,15.6,19.0,33.0,36.3
1049,11.2,13.4,33.0,36.3
1051,9.9,13.4,33.0,36.3
1053,12.3,17.8,33.0,36.3
1055,11.6,16.8,33.0,36.3
1057,12.7,15.1,33.0,36.3
1059,12.8,13.9,33.0,36.3
1061,12.6,13.9,33.0,36.3
1063,18.2,21.0,33.0,36.3
1065,15.1,16.0,33.0,36.3
1067,13.5,18.7,33.0,36.3
1069,12.4,13.7,33.0,36.3
1071,11.9,14.9,33.0,36.3
1073,12.0,13.0,33.0,36.3
1075,12.7,14.9,33.0,36.3
1077,12.8,14.2,33.0,36.3
1079,12.9,15.6,33.0,36.3
1081,9.6,9.5,33.0,36.3
1083,10.4,12.6,33.0,36.3
1085,17.1,23.5,33.0,36.3
1087,16.2,18.4,33.0,36.3
1089,13.0,11.5,33.0,36.3
1091,15.9,20.2,33.0,36.3
1093,11.7,18.7,33.0,36.3
1095,11.5,12.8,33.0,36.3
1097,12.2,15.6,33.0,36.3
1099,13.5,17.8,33.0,36.3
1101,12.7,13.5,33.0,36.3
1103,11.0,12.6,33.0,36.3
1105,17.5,21.7,33.0,36.3
1107,14.9,16.4,33.0,36.3
1109,12.9,13.5,33.0,36.3
1111,12.9,14.9,33.0,36.3
1113,13.6,12.9,33.0,36.3
1115,11.4,12.8,33.0,36.3
1117,8.0,8.7,33.0,36.3
1119,17.1,20.1,33.0,36.3
1121,13.6,15.3,33.0,36.3
1123,14.3,13.7,33.0,36.3
1125,11.1,12.3,33.0,36.3
1127,13.3,16.7,33.0,36.3
1129,12.9,17.8,33.0,36.3
1131,17.1,19.3,33.0,36.3
1133,10.0,13.2,33.0,36.3
2013,5.5,7.6,25.7,34.2
2016,5.9,6.2,25.7,34.2
2020,7.0,7.0,25.7,34.2
2050,5.5,5.8,25.7,34.2
2060,6.8,8.5,25.7,34.2
2068,6.0,5.8,25.7,34.2
2070,7.8,7.2,25.7,34.2
2090,5.2,5.5,25.7,34.2
2100,6.6,7.9,25.7,34.2
2105,,7.3,25.7,34.2
2110,5.3,5.9,25.7,34.2
2122,6.3,7.2,25.7,34.2
2130,7.2,8.9,25.7,34.2
2150,6.2,6.6,25.7,34.2
2164,7.2,7.4,25.7,34.2
2170,5.8,8.2,25.7,34.2
2180,7.1,6.0,25.7,34.2
2185,7.1,6.5,25.7,34.2
2188,6.6,6.5,25.7,34.2
2195,,7.1,25.7,34.2
2198,,7.3,25.7,34.2
2220,6.8,6.7,25.7,34.2
2230,,6.4,25.7,34.2
2240,6.3,6.9,25.7,34.2
2261,6.2,7.4,25.7,34.2
2270,6.4,4.6,25.7,34.2
2275,,8.9,25.7,34.2
2282,7.3,7.9,25.7,34.2
2290,6.9,8.3,25.7,34.2
4001,13.6,14.4,26.0,29.5
4003,8.4,10.3,26.0,29.5
4005,7.1,7.6,26.0,29.5
4007,10.9,11.2,26.0,29.5
4009,9.1,10.3,26.0,29.5
4011,8.2,10.7,26.0,29.5
4012,12.0,14.8,26.0,29.5
4013,7.4,9.0,26.0,29.5
4015,11.1,12.8,26.0,29.5
4017,12.9,13.1,26.0,29.5
4019,7.8,8.8,26.0,29.5
4021,8.4,12.3,26.0,29.5
4023,6.3,8.0,26.0,29.5
4025,8.0,10.5,26.0,29.5
4027,10.0,12.6,26.0,29.5
5001,12.6,12.9,34.5,35.0
5003,11.3,14.5,34.5,35.0
5005,11.8,16.0,34.5,35.0
5007,7.8,9.6,34.5,35.0
5009,10.1,12.4,34.5,35.0
5011,12.2,13.1,34.5,35.0
5013,12.6,13.7,34.5,35.0
5015,10.9,13.0,34.5,35.0
5017,14.7,15.2,34.5,35.0
5019,10.1,11.6,34.5,35.0
5021,12.0,11.1,34.5,35.0
5023,11.9,13.5,34.5,35.0
5025,11.8,13.0,34.5,35.0
5027,12.0,12.9,34.5,35.0
5029,10.4,13.7,34.5,35.0
5031,10.1,13.1,34.5,35.0
5033,8.2,11.4,34.5,35.0
5035,13.8,15.8,34.5,35.0
5037,12.3,13.6,34.5,35.0
5039,13.6,14.4,34.5,35.0
5041,13.3,15.1,34.5,35.0
5043,10.6,13.6,34.5,35.0
5045,9.3,11.2,34.5,35.0
5047,10.9,13.8,34.5,35.0
5049,11.4,15.6,34.5,35.0
5051,10.2,14.5,34.5,35.0
5053,9.4,11.1,34.5,35.0
5055,9.6,12.9,34.5,35.0
5057,13.0,13.5,34.5,35.0
5059,10.7,12.2,34.5,35.0
5061,11.8,13.4,34.5,35.0
5063,10.1,13.1,34.5,35.0
5065,9.8,15.5,34.5,35.0
5067,11.4,12.9,34.5,35.0
5069,12.5,15.4,34.5,35.0
5071,9.9,12.5,34.5,35.0
5073,13.5,15.3,34.5,35.0
5075,11.2,13.2,34.5,35.0
5077,12.7,13.1,34.5,35.0
5079,10.4,12.3,34.5,35.0
5081,11.9,12.9,34.5,35.0
5083,9.6,13.8,34.5,35.0
5085,10.9,13.1,34.5,35.0
5087,9.8,11.8,34.5,35.0
5089,11.8,12.2,34.5,35.0
5091,13.8,12.3,34.5,35.0
5093,12.6,15.9,34.5,35.0
5095,13.3,17.2,34.5,35.0
5097,10.9,14.3,34.5,35.0
5099,13.2,13.9,34.5,35.0
5101,12.7,12.8,34.5,35.0
5103,13.4,14.8,34.5,35.0
5105,10.0,12.2,34.5,35.0
5107,13.8,16.7,34.5,35.0
5109,11.0,12.4,34.5,35.0
5111,11.9,13.8,34.5,35.0
5113,10.7,13.9,34.5,35.0
5115,9.6,11.2,34.5,35.0
5117,11.1,14.3,34.5,35.0
5119,10.0,12.0,34.5,35.0
5121,11.4,12.7,34.5,35.0
5123,12.9,16.4,34.5,35.0
5125,9.6,11.8,34.5,35.0
5127,10.9,11.4,34.5,35.0
5129,12.5,13.4,34.5,35.0
5131,10.1,12.9,34.5,35.0
5133,12.1,12.2,34.5,35.0
5135,11.2,15.2,34.5,35.0
5137,11.0,12.7,34.5,35.0
5139,11.1,13.5,34.5,35.0
5141,11.1,12.9,34.5,35.0
5143,7.8,9.1,34.5,35.0
5145,8.8,10.1,34.5,35.0
5147,12.2,14.7,34.5,35.0
5149,11.7,12.9,34.5,35.0
6001,7.6,8.5,25.0,25.1
6003,8.4,10.3,25.0,25.1
6005,9.3,10.2,25.0,25.1
6007,8.3,10.2,25.0,25.1
6009,7.3,10.0,25.0,25.1
6011,7.6,9.6,25.0,25.1
6013,7.0,9.4,25.0,25.1
6015,8.1,8.4,25.0,25.1
6017,7.1,7.5,25.0,25.1
6019,8.5,9.4,25.0,25.1
6021,7.7,8.4,25.0,25.1
6023,9.4,8.8,25.0,25.1
6025,6.7,8.3,25.0,25.1
6027,8.0,9.4,25.0,25.1
6029,7.0,9.3,25.0,25.1
6031,5.7,7.5,25.0,25.1
6033,9.2,10.1,25.0,25.1
6035,6.5,7.6,25.0,25.1
6037,7.8,9.1,25.0,25.1
6039,7.8,7.9,25.0,25.1
6041,6.4,7.9,25.0,25.1
6043,8.3,10.7,25.0,25.1
6045,7.0,8.4,25.0,25.1
6047,7.5,9.2,25.0,25.1
6049,8.2,10.4,25.0,25.1
6051,7.0,7.4,25.0,25.1
6053,7.8,7.6,25.0,25.1
6055,7.3,8.4,25.0,25.1
6057,6.9,7.7,25.0,25.1
6059,7.0,8.0,25.0,25.1
6061,7.1,9.0,25.0,25.1
6063,8.0,9.8,25.0,25.1
6065,8.1,9.0,25.0,25.1
6067,8.4,8.4,25.0,25.1
6069,7.2,7.6,25.0,25.1
6071,7.7,9.2,25.0,25.1
6073,7.1,7.7,25.0,25.1
6075,7.9,7.9,25.0,25.1
6077,7.9,10.3,25.0,25.1
6079,6.4,8.5,25.0,25.1
6081,6.8,8.3,25.0,25.1
6083,7.5,7.1,25.0,25.1
6085,7.4,8.4,25.0,25.1
6087,6.2,7.0,25.0,25.1
6089,7.1,9.4,25.0,25.1
6091,8.8,9.6,25.0,25.1
6093,8.0,8.6,25.0,25.1
6095,9.9,9.8,25.0,25.1
6097,6.6,7.9,25.0,25.1
6099,8.1,9.7,25.0,25.1
6101,7.9,8.6,25.0,25.1
6103,8.7,11.2,25.0,25.1
6105,9.6,10.1,25.0,25.1
6107,7.6,8.0,25.0,25.1
6109,6.8,10.1,25.0,25.1
6111,7.1,7.6,25.0,25.1
6113,6.7,6.9,25.0,25.1
6115,6.2,7.6,25.0,25.1
8001,6.5,7.2,20.5,22.6
8003,5.6,6.7,20.5,22.6
8005,5.9,6.3,20.5,22.6
8007,5.4,5.9,20.5,22.6
8009,8.2,7.6,20.5,22.6
8011,5.6,7.0,20.5,22.6
8013,3.5,4.1,20.5,22.6
8014,4.5,5.5,20.5,22.6
8015,5.0,6.4,20.5,22.6
8017,6.1,6.5,20.5,22.6
8019,5.4,7.9,20.5,22.6
8021,6.2,6.0,20.5,22.6
8023,7.3,8.3,20.5,22.6
8025,4.7,6.0,20.5,22.6
8027,6.4,6.8,20.5,22.6
8029,6.7,7.6,20.5,22.6
8031,5.4,6.0,20.5,22.6
8033,5.7,7.5,20.5,22.6
8035,3.4,5.3,20.5,22.6
