GEOID10,CountyCode,CountyName,Food_Desert_Tot_Pop,Food_Desert_Pct_Lowa_Pop,Food_Desert_lowa_Pop,Food_Desert_Pct_Lowi,Food_Desert_Lowi,Food_Desert_Pct_Hunv,Food_Desert_Hunv,Food_Desert_Pct_Kids,Food_Desert_Kids,Food_Desert_Pct_Seniors,Food_Desert_Seniors,Food_Desert_mrfei,Spatial_Measures_grocerystore_Density,Spatial_Measures_fastfood_Density,Spatial_Measures_grocerystore_Distance,Spatial_Measures_fastfood_Distance,Spatial_Measures_Liquor_Density,Spatial_Measures_Liquor_Distance
26049000100,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.66666667,NA,0.15,NA,0.62,0.65,0.41
26049000200,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22222222,NA,0.44,NA,0.56,2.99,0.28
26049000300,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1.21,NA,0.47,3.41,0.23
26049000400,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,1.81,NA,0.4,6.6,0.22
26049000500,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,2.36,NA,0.45,5.22,0.2
26049000600,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.28571429,NA,0.77,NA,0.51,9.12,0.16
26049000700,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,4.67,NA,0.44,7.3,0.2
26049000800,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33333333,NA,0.09,NA,0.65,2.06,0.26
26049000900,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.58,NA,0.38,5.6,0.25
26049001000,26049,Genesse,3861,100,3861,36.3,1388,23.3,302,35.6,1375,9.5,368,0,NA,0.09,NA,0.65,3.81,0.22
26049001100,26049,Genesse,3419,53.2,1820,18.3,619,11.1,138,17,581,6.7,229,0,NA,0,NA,0.84,5.25,0.2
26049001200,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1.13,NA,0.47,3.47,0.31
26049001300,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.75,NA,0.4,6.93,0.18
26049001400,26049,Genesse,2210,100,2210,42.4,960,34.8,258,37.9,838,8.2,182,0,NA,0.78,NA,0.38,3.82,0.21
26049001500,26049,Genesse,2515,38.2,961,19.8,459,17.4,157,12.4,312,3,74,0,NA,0.81,NA,0.48,3.05,0.24
26049001600,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.166666667,NA,0.27,NA,0.55,3.49,0.28
26049001700,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.38461538,NA,0.4,NA,0.59,2.52,0.38
26049001800,26049,Genesse,2354,83.3,1962,41.6,994,22,182,33.6,791,3.9,91,0,NA,0.13,NA,1.01,0.64,0.57
26049001900,26049,Genesse,2513,60.5,1521,21.5,487,5.6,51,21.7,545,3.5,88,0,NA,0.19,NA,0.71,2.5,0.41
26049002000,26049,Genesse,2072,33.4,691,13,294,12.6,114,10.9,226,6.9,142,0,NA,1.07,NA,0.43,8.88,0.18
26049002200,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.333333333,NA,0.63,NA,0.51,6.42,0.23
26049002300,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33333333,NA,2.5,NA,0.42,12.89,0.15
26049002400,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.49,NA,0.3,4.96,0.23
26049002600,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.75,NA,3.1,NA,0.31,5.7,0.25
26049002700,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.555555556,NA,5.46,NA,0.3,6.59,0.22
26049002800,26049,Genesse,2595,100,2595,44.9,870,32.7,278,16.8,437,4.6,119,6.25,NA,7.29,NA,0.2,14.07,0.2
