FIPS,MEDHHINC15,POVRATE15
1001,56580.0,12.7
1003,52387.0,12.9
1005,31433.0,32.0
1007,40767.0,22.2
1009,50487.0,14.7
1011,28251.0,39.6
1013,33868.0,25.8
1015,42091.0,20.0
1017,35560.0,22.4
1019,39144.0,19.4
1021,42767.0,20.2
1023,35089.0,24.4
1025,37317.0,22.2
1027,38908.0,18.4
1029,42136.0,18.9
1031,46858.0,16.2
1033,41171.0,18.1
1035,29981.0,28.3
1037,36078.0,20.3
1039,36355.0,22.3
1041,36759.0,19.9
1043,39290.0,19.4
1045,45294.0,18.5
1047,29682.0,34.6
1049,37305.0,20.6
1051,53548.0,14.0
1053,36840.0,24.4
1055,42145.0,19.0
1057,37085.0,20.4
1059,38535.0,21.1
1061,36289.0,22.4
1063,25398.0,37.7
1065,35470.0,28.5
1067,42501.0,17.0
1069,43568.0,18.3
1071,40201.0,18.4
1073,48415.0,18.0
1075,36520.0,24.7
1077,43008.0,17.3
1079,41771.0,18.7
1081,46442.0,21.0
1083,55060.0,14.3
1085,31117.0,35.2
1087,29522.0,32.2
1089,59117.0,13.3
1091,35389.0,23.3
1093,34977.0,19.8
1095,40599.0,20.1
1097,42530.0,18.4
1099,35163.0,28.6
1101,42666.0,22.8
1103,47234.0,16.4
1105,26218.0,40.0
1107,33160.0,24.3
1109,34442.0,25.9
1111,37333.0,18.7
1113,36124.0,23.0
1115,53558.0,12.4
1117,70879.0,8.5
1119,25931.0,33.2
1121,37911.0,22.4
1123,39051.0,21.7
1125,47868.0,20.0
1127,37305.0,20.6
1129,42658.0,22.4
1131,23014.0,33.2
1133,36497.0,18.9
2013,57015.0,17.4
2016,80695.0,8.5
2020,77791.0,8.7
2050,44849.0,24.2
2060,66373.0,9.0
2068,73000.0,6.6
2070,50753.0,20.0
2090,70881.0,8.1
2100,57876.0,10.9
2105,53726.0,16.2
2110,82892.0,8.0
2122,62025.0,11.4
2130,65314.0,10.3
2150,67515.0,7.5
2164,42120.0,19.3
2170,76601.0,9.8
2180,52952.0,21.4
2185,70834.0,12.6
2188,53774.0,26.3
2195,63098.0,7.9
2198,45305.0,15.6
2220,68472.0,9.2
2230,65878.0,3.7
2240,60203.0,13.5
2261,70101.0,9.5
2270,,
2275,54500.0,12.0
2282,53795.0,15.4
2290,37755.0,23.4
4001,31072.0,38.0
4003,43451.0,16.9
4005,51955.0,19.5
4007,41346.0,21.3
4009,44169.0,22.9
4011,58854.0,10.1
4012,34835.0,22.2
4013,56017.0,16.3
4015,40360.0,17.4
4017,37658.0,28.1
4019,47107.0,18.7
4021,50888.0,15.8
4023,34893.0,24.4
4025,47220.0,15.1
4027,40426.0,21.1
5001,41179.0,20.7
5003,39871.0,19.6
5005,36902.0,16.4
5007,60294.0,10.8
5009,40909.0,16.5
5011,37331.0,28.0
5013,40526.0,16.7
5015,37587.0,16.6
5017,29968.0,31.4
5019,37856.0,22.5
5021,35324.0,20.8
5023,43913.0,15.6
5025,44123.0,18.1
5027,38057.0,23.8
5029,43702.0,17.8
5031,42460.0,17.3
5033,46545.0,14.4
5035,37371.0,25.9
5037,39132.0,21.5
5039,33352.0,21.3
5041,30987.0,30.9
5043,39339.0,21.2
5045,51157.0,14.8
5047,41933.0,18.2
5049,34717.0,19.4
5051,37723.0,19.3
5053,47652.0,13.2
5055,43996.0,17.1
5057,34560.0,24.1
5059,39851.0,20.8
5061,33199.0,18.7
5063,38241.0,18.0
5065,35355.0,19.8
5067,32571.0,27.5
5069,36990.0,26.5
5071,35877.0,21.8
5073,33864.0,22.7
5075,34808.0,23.7
5077,28481.0,35.9
5079,40216.0,25.1
5081,39265.0,19.9
5083,37924.0,20.5
5085,56240.0,11.9
5087,41007.0,18.8
5089,34946.0,18.8
5091,39005.0,22.3
5093,34888.0,26.3
5095,30801.0,30.9
5097,37813.0,21.8
5099,35914.0,24.0
5101,33679.0,24.2
5103,37987.0,22.8
5105,43020.0,16.8
5107,28224.0,37.3
5109,36266.0,18.5
5111,32756.0,23.9
5113,34723.0,24.4
5115,41074.0,20.8
5117,39518.0,19.6
5119,46473.0,19.4
5121,34730.0,17.6
5123,31625.0,30.7
5125,56926.0,10.7
5127,36028.0,20.8
5129,30427.0,22.2
5131,41452.0,22.1
5133,41848.0,20.8
5135,32095.0,24.6
5137,32023.0,21.5
5139,42195.0,19.7
5141,38306.0,19.0
5143,46418.0,16.9
5145,42508.0,19.7
5147,31013.0,25.8
5149,37415.0,17.8
6001,81462.0,11.5
6003,50882.0,19.0
6005,55879.0,13.1
6007,45369.0,21.4
6009,52471.0,13.0
6011,51118.0,13.2
6013,83036.0,10.2
6015,38963.0,23.3
6017,75575.0,9.1
6019,46608.0,25.2
6021,43584.0,18.5
6023,40739.0,20.9
6025,39925.0,24.3
6027,51697.0,12.4
6029,51150.0,21.9
6031,46440.0,22.4
6033,37993.0,20.5
6035,54670.0,17.1
6037,59045.0,16.7
6039,46593.0,22.6
6041,99868.0,7.5
6043,44595.0,15.2
6045,43237.0,20.3
6047,42879.0,25.9
6049,38402.0,20.3
6051,53992.0,11.2
6053,60047.0,15.3
6055,72683.0,10.1
6057,57627.0,12.4
6059,78002.0,12.7
6061,76203.0,8.6
6063,46813.0,13.8
6065,57895.0,16.2
6067,58735.0,16.9
6069,76521.0,9.3
6071,53526.0,18.9
6073,67053.0,13.9
6075,90527.0,12.4
6077,53341.0,17.5
6079,61761.0,14.4
6081,101133.0,8.4
6083,63049.0,15.6
6085,102191.0,8.3
6087,64841.0,15.4
6089,45943.0,19.0
6091,47535.0,13.8
6093,37447.0,22.6
6095,67202.0,12.0
6097,66463.0,11.0
6099,51949.0,19.5
6101,50810.0,17.5
6103,40292.0,22.5
6105,37669.0,19.7
6107,42637.0,27.2
6109,53136.0,14.5
6111,79285.0,9.9
6113,58766.0,17.5
6115,46500.0,21.6
8001,62991.0,12.8
8003,40067.0,24.0
8005,67062.0,9.2
8007,50361.0,13.1
8009,35405.0,20.8
8011,36630.0,36.7
8013,72392.0,12.3
8014,86548.0,4.9
8015,50947.0,11.7
8017,50620.0,11.7
8019,67262.0,9.6
8021,37102.0,20.2
8023,27944.0,28.2
8025,35405.0,44.3
8027,43995.0,15.1
8029,42586.0,15.8
8031,57886.0,15.7
8033,44829.0,14.9
8035,109926.0,3.4
8037,75191.0,7.6
8039,90270.0,5.9
8041,60050.0,11.0
8043,41967.0,17.2
8045,64487.0,10.3
8047,67389.0,8.0
8049,59885.0,8.3
8051,47619.0,12.5
8053,58613.0,10.9
8055,33098.0,23.2
8057,46905.0,13.9
8059,71209.0,7.9
8061,42108.0,13.9
8063,44090.0,12.2
8065,45913.0,15.7
8067,60732.0,9.4
8069,64935.0,12.2
8071,38858.0,19.3
8073,43188.0,19.4
8075,46306.0,15.5
8077,51449.0,14.1
8079,50481.0,9.4
8081,59173.0,11.7
8083,42975.0,19.3
8085,46860.0,17.7
8087,49087.0,12.1
8089,34970.0,20.6
8091,60402.0,9.4
8093,63319.0,9.2
