,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,PCT_HSPA17,RECFACPTH11,RECFACPTH16
0,11.4,13.0,33.0,36.3,,0.072465081,0.108542277
1,9.8,10.4,33.0,36.3,,0.085775247,0.10120043
2,13.6,18.4,33.0,36.3,,0.073123469,0.0
3,11.1,14.8,33.0,36.3,,0.0,0.0441833
4,11.4,14.1,33.0,36.3,,0.0521177,0.069490289
5,14.9,19.6,33.0,36.3,,0.0,0.0
6,15.1,17.7,33.0,36.3,,0.0,0.0500877
7,14.5,14.9,33.0,36.3,,0.067920363,0.0608802
8,16.1,16.4,33.0,36.3,,0.0,0.0
9,13.6,13.3,33.0,36.3,,0.0384719,0.0388108
10,10.2,13.3,33.0,36.3,,0.0457792,0.0456308
11,14.7,18.1,33.0,36.3,,0.0,0.0
12,14.1,16.3,33.0,36.3,,0.07817997,0.082135524
13,13.2,14.6,33.0,36.3,,0.0,0.0
14,11.0,12.6,33.0,36.3,,0.0,0.0
15,12.1,15.9,33.0,36.3,,0.0594837,0.078099069
16,13.5,18.7,33.0,36.3,,0.091685921,0.092035268
17,14.5,17.4,33.0,36.3,,0.0,0.0
18,13.2,17.3,33.0,36.3,,0.0,0.0
19,13.1,14.7,33.0,36.3,,0.052608,0.106991922
20,12.6,16.5,33.0,36.3,,0.0,0.0
21,11.9,14.4,33.0,36.3,,0.0373083,0.0485897
22,13.5,14.1,33.0,36.3,,0.0598719,0.0406273
23,15.6,19.0,33.0,36.3,,0.0231182,0.049899
24,11.2,13.4,33.0,36.3,,0.070074138,0.0421254
25,9.9,13.4,33.0,36.3,,0.0499963,0.0492368
26,12.3,17.8,33.0,36.3,,0.0523533,0.0533675
27,11.6,16.8,33.0,36.3,,0.067079364,0.077877071
28,12.7,15.1,33.0,36.3,,0.0,0.0
29,12.8,13.9,33.0,36.3,,0.094437624,0.095005859
30,12.6,13.9,33.0,36.3,,0.0,0.0
31,18.2,21.0,33.0,36.3,,0.0,0.0
32,15.1,16.0,33.0,36.3,,0.0,0.0
33,13.5,18.7,33.0,36.3,,0.0575506,0.0
34,12.4,13.7,33.0,36.3,,0.0487957,0.095994164
35,11.9,14.9,33.0,36.3,,0.0187928,0.0192127
36,12.0,13.0,33.0,36.3,,0.094255149,0.110648476
37,12.7,14.9,33.0,36.3,,0.0,0.0
38,12.8,14.2,33.0,36.3,,0.064792717,0.097488058
39,12.9,15.6,33.0,36.3,,0.0293712,0.060183
40,9.6,9.5,33.0,36.3,,0.0555105,0.0440299
41,10.4,12.6,33.0,36.3,,0.0350754,0.07533362
42,17.1,23.5,33.0,36.3,,0.08984726,0.097646714
43,16.2,18.4,33.0,36.3,,0.0,0.0
44,13.0,11.5,33.0,36.3,,0.164939223,0.140326455
45,15.9,20.2,33.0,36.3,,0.096856991,0.102537811
46,11.7,18.7,33.0,36.3,,0.0,0.100260678
47,11.5,12.8,33.0,36.3,,0.042603,0.0420862
48,12.2,15.6,33.0,36.3,,0.072598443,0.074725444
49,13.5,17.8,33.0,36.3,,0.0,0.0463564
50,12.7,13.5,33.0,36.3,,0.082910779,0.088216094
51,11.0,12.6,33.0,36.3,,0.0499971,0.0589131
52,17.5,21.7,33.0,36.3,,0.0,0.0
53,14.9,16.4,33.0,36.3,,0.103337811,0.098449422
54,12.9,13.5,33.0,36.3,,0.0606667,0.0602138
55,12.9,14.9,33.0,36.3,,0.0439754,0.0
56,13.6,12.9,33.0,36.3,,0.072948772,0.068755694
57,11.4,12.8,33.0,36.3,,0.0474997,0.0342928
58,8.0,8.7,33.0,36.3,,0.101068803,0.146868619
59,17.1,20.1,33.0,36.3,,0.07412349,0.07732756
60,13.6,15.3,33.0,36.3,,0.0244523,0.0
61,14.3,13.7,33.0,36.3,,0.0241581,0.0246463
62,11.1,12.3,33.0,36.3,,0.066090829,0.0581728
63,13.3,16.7,33.0,36.3,,0.090121213,0.077446136
64,12.9,17.8,33.0,36.3,,0.0,0.0
65,17.1,19.3,33.0,36.3,,0.0,0.0
66,10.0,13.2,33.0,36.3,,0.0,0.083727551
67,5.5,7.6,25.7,34.2,18.400000000000006,0.0,0.0
68,5.9,6.2,25.7,34.2,18.400000000000006,0.0,0.0
69,7.0,7.0,25.7,34.2,18.400000000000006,0.118127112,0.147960831
70,5.5,5.8,25.7,34.2,18.400000000000006,0.0,0.0556174
71,6.8,8.5,25.7,34.2,18.400000000000006,0.0,0.0
72,6.0,5.8,25.7,34.2,18.400000000000006,0.0,0.0
73,7.8,7.2,25.7,34.2,18.400000000000006,0.0,0.0
74,5.2,5.5,25.7,34.2,18.400000000000006,0.071329583,0.119281923
75,6.6,7.9,25.7,34.2,18.400000000000006,0.0,0.0
76,,7.3,25.7,34.2,18.400000000000006,0.0,0.0
77,5.3,5.9,25.7,34.2,18.400000000000006,0.186555562,0.246875482
78,6.3,7.2,25.7,34.2,18.400000000000006,0.159846547,0.136651692
79,7.2,8.9,25.7,34.2,18.400000000000006,0.366461448,0.218547388
80,6.2,6.6,25.7,34.2,18.400000000000006,0.0,0.0
81,7.2,7.4,25.7,34.2,18.400000000000006,0.0,0.0
82,5.8,8.2,25.7,34.2,18.400000000000006,0.0763184,0.067228182
83,7.1,6.0,25.7,34.2,18.400000000000006,0.0,0.0
84,7.1,6.5,25.7,34.2,18.400000000000006,0.104723008,0.103252452
85,6.6,6.5,25.7,34.2,18.400000000000006,0.0,0.0
86,,7.1,25.7,34.2,18.400000000000006,0.0,0.0
87,,7.3,25.7,34.2,18.400000000000006,0.0,0.0
88,6.8,6.7,25.7,34.2,18.400000000000006,0.225022502,0.22810219
89,,6.4,25.7,34.2,18.400000000000006,0.0,0.0
90,6.3,6.9,25.7,34.2,18.400000000000006,0.0,0.0
91,6.2,7.4,25.7,34.2,18.400000000000006,0.205296654,0.214132762
92,6.4,4.6,25.7,34.2,18.400000000000006,0.0,0.0
93,,8.9,25.7,34.2,18.400000000000006,0.0,0.0
