,FOODINSEC_12_14,FOODINSEC_15_17,VLFOODSEC_12_14,VLFOODSEC_15_17
0,16.8,16.3,7.2,7.1
1,16.8,16.3,7.2,7.1
2,16.8,16.3,7.2,7.1
3,16.8,16.3,7.2,7.1
4,16.8,16.3,7.2,7.1
5,16.8,16.3,7.2,7.1
6,16.8,16.3,7.2,7.1
7,16.8,16.3,7.2,7.1
8,16.8,16.3,7.2,7.1
9,16.8,16.3,7.2,7.1
10,16.8,16.3,7.2,7.1
11,16.8,16.3,7.2,7.1
12,16.8,16.3,7.2,7.1
13,16.8,16.3,7.2,7.1
14,16.8,16.3,7.2,7.1
15,16.8,16.3,7.2,7.1
16,16.8,16.3,7.2,7.1
17,16.8,16.3,7.2,7.1
18,16.8,16.3,7.2,7.1
19,16.8,16.3,7.2,7.1
20,16.8,16.3,7.2,7.1
21,16.8,16.3,7.2,7.1
22,16.8,16.3,7.2,7.1
23,16.8,16.3,7.2,7.1
24,16.8,16.3,7.2,7.1
25,16.8,16.3,7.2,7.1
26,16.8,16.3,7.2,7.1
27,16.8,16.3,7.2,7.1
28,16.8,16.3,7.2,7.1
29,16.8,16.3,7.2,7.1
30,16.8,16.3,7.2,7.1
31,16.8,16.3,7.2,7.1
32,16.8,16.3,7.2,7.1
33,16.8,16.3,7.2,7.1
34,16.8,16.3,7.2,7.1
35,16.8,16.3,7.2,7.1
36,16.8,16.3,7.2,7.1
37,16.8,16.3,7.2,7.1
38,16.8,16.3,7.2,7.1
39,16.8,16.3,7.2,7.1
40,16.8,16.3,7.2,7.1
41,16.8,16.3,7.2,7.1
42,16.8,16.3,7.2,7.1
43,16.8,16.3,7.2,7.1
44,16.8,16.3,7.2,7.1
45,16.8,16.3,7.2,7.1
46,16.8,16.3,7.2,7.1
47,16.8,16.3,7.2,7.1
48,16.8,16.3,7.2,7.1
49,16.8,16.3,7.2,7.1
50,16.8,16.3,7.2,7.1
51,16.8,16.3,7.2,7.1
52,16.8,16.3,7.2,7.1
53,16.8,16.3,7.2,7.1
54,16.8,16.3,7.2,7.1
55,16.8,16.3,7.2,7.1
56,16.8,16.3,7.2,7.1
57,16.8,16.3,7.2,7.1
58,16.8,16.3,7.2,7.1
59,16.8,16.3,7.2,7.1
60,16.8,16.3,7.2,7.1
61,16.8,16.3,7.2,7.1
62,16.8,16.3,7.2,7.1
63,16.8,16.3,7.2,7.1
64,16.8,16.3,7.2,7.1
65,16.8,16.3,7.2,7.1
66,16.8,16.3,7.2,7.1
67,12.0,11.6,4.3,3.7
68,12.0,11.6,4.3,3.7
69,12.0,11.6,4.3,3.7
70,12.0,11.6,4.3,3.7
71,12.0,11.6,4.3,3.7
72,12.0,11.6,4.3,3.7
73,12.0,11.6,4.3,3.7
74,12.0,11.6,4.3,3.7
75,12.0,11.6,4.3,3.7
76,12.0,11.6,4.3,3.7
77,12.0,11.6,4.3,3.7
78,12.0,11.6,4.3,3.7
79,12.0,11.6,4.3,3.7
80,12.0,11.6,4.3,3.7
81,12.0,11.6,4.3,3.7
82,12.0,11.6,4.3,3.7
83,12.0,11.6,4.3,3.7
84,12.0,11.6,4.3,3.7
85,12.0,11.6,4.3,3.7
86,12.0,11.6,4.3,3.7
87,12.0,11.6,4.3,3.7
88,12.0,11.6,4.3,3.7
89,12.0,11.6,4.3,3.7
90,12.0,11.6,4.3,3.7
91,12.0,11.6,4.3,3.7
92,12.0,11.6,4.3,3.7
93,12.0,11.6,4.3,3.7
94,12.0,11.6,4.3,3.7
95,12.0,11.6,4.3,3.7
96,19.9,17.4,8.1,6.5
97,19.9,17.4,8.1,6.5
98,19.9,17.4,8.1,6.5
99,19.9,17.4,8.1,6.5
100,19.9,17.4,8.1,6.5
101,19.9,17.4,8.1,6.5
102,19.9,17.4,8.1,6.5
103,19.9,17.4,8.1,6.5
104,19.9,17.4,8.1,6.5
105,19.9,17.4,8.1,6.5
106,19.9,17.4,8.1,6.5
107,19.9,17.4,8.1,6.5
108,19.9,17.4,8.1,6.5
109,19.9,17.4,8.1,6.5
110,19.9,17.4,8.1,6.5
111,15.4,13.1,6.2,5.7
112,15.4,13.1,6.2,5.7
113,15.4,13.1,6.2,5.7
114,15.4,13.1,6.2,5.7
115,15.4,13.1,6.2,5.7
116,15.4,13.1,6.2,5.7
117,15.4,13.1,6.2,5.7
118,15.4,13.1,6.2,5.7
119,15.4,13.1,6.2,5.7
120,15.4,13.1,6.2,5.7
121,15.4,13.1,6.2,5.7
122,15.4,13.1,6.2,5.7
123,15.4,13.1,6.2,5.7
124,15.4,13.1,6.2,5.7
125,15.4,13.1,6.2,5.7
126,15.4,13.1,6.2,5.7
127,15.4,13.1,6.2,5.7
128,15.4,13.1,6.2,5.7
129,15.4,13.1,6.2,5.7
130,15.4,13.1,6.2,5.7
131,15.4,13.1,6.2,5.7
132,15.4,13.1,6.2,5.7
133,15.4,13.1,6.2,5.7
134,15.4,13.1,6.2,5.7
135,15.4,13.1,6.2,5.7
136,15.4,13.1,6.2,5.7
137,15.4,13.1,6.2,5.7
138,15.4,13.1,6.2,5.7
139,15.4,13.1,6.2,5.7
140,15.4,13.1,6.2,5.7
141,15.4,13.1,6.2,5.7
142,15.4,13.1,6.2,5.7
143,15.4,13.1,6.2,5.7
144,15.4,13.1,6.2,5.7
145,15.4,13.1,6.2,5.7
146,15.4,13.1,6.2,5.7
147,15.4,13.1,6.2,5.7
148,15.4,13.1,6.2,5.7
149,15.4,13.1,6.2,5.7
150,15.4,13.1,6.2,5.7
151,15.4,13.1,6.2,5.7
152,15.4,13.1,6.2,5.7
153,15.4,13.1,6.2,5.7
154,15.4,13.1,6.2,5.7
155,15.4,13.1,6.2,5.7
156,15.4,13.1,6.2,5.7
157,15.4,13.1,6.2,5.7
158,15.4,13.1,6.2,5.7
