,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13
0,56580.0,12.7,0,18.8,0,1
1,52387.0,12.9,0,19.6,0,1
2,31433.0,32.0,1,45.2,1,0
3,40767.0,22.2,0,29.3,1,1
4,50487.0,14.7,0,22.2,0,1
5,28251.0,39.6,1,51.2,1,0
6,33868.0,25.8,1,36.0,1,0
7,42091.0,20.0,0,30.7,0,1
8,35560.0,22.4,0,34.4,1,0
9,39144.0,19.4,0,30.2,0,0
10,42767.0,20.2,0,28.1,0,1
11,35089.0,24.4,1,33.5,1,0
12,37317.0,22.2,1,30.9,1,0
13,38908.0,18.4,0,27.3,0,0
14,42136.0,18.9,0,27.7,0,0
15,46858.0,16.2,0,23.7,0,0
16,41171.0,18.1,0,26.9,0,1
17,29981.0,28.3,1,41.0,1,0
18,36078.0,20.3,0,32.2,0,0
19,36355.0,22.3,0,34.1,1,0
20,36759.0,19.9,0,29.6,1,0
21,39290.0,19.4,0,24.7,0,0
22,45294.0,18.5,0,29.0,0,0
23,29682.0,34.6,1,50.1,1,0
24,37305.0,20.6,0,28.9,0,0
25,53548.0,14.0,0,19.9,0,1
26,36840.0,24.4,1,32.0,1,0
27,42145.0,19.0,0,30.7,0,1
28,37085.0,20.4,0,29.4,0,0
29,38535.0,21.1,0,32.4,0,0
30,36289.0,22.4,0,34.8,1,1
31,25398.0,37.7,1,54.7,1,0
32,35470.0,28.5,1,38.6,1,1
33,42501.0,17.0,0,27.5,1,1
34,43568.0,18.3,0,29.5,1,1
35,40201.0,18.4,0,26.9,0,0
36,48415.0,18.0,0,26.2,1,1
37,36520.0,24.7,0,33.8,0,0
38,43008.0,17.3,0,23.9,0,1
39,41771.0,18.7,0,26.4,0,1
40,46442.0,21.0,0,20.7,0,1
41,55060.0,14.3,0,18.8,0,1
42,31117.0,35.2,1,46.7,1,1
43,29522.0,32.2,1,46.1,1,0
44,59117.0,13.3,0,19.1,0,1
45,35389.0,23.3,1,34.8,1,0
46,34977.0,19.8,0,30.4,0,0
47,40599.0,20.1,0,32.7,0,0
48,42530.0,18.4,0,26.9,1,1
49,35163.0,28.6,1,35.7,1,0
50,42666.0,22.8,0,33.8,1,1
51,47234.0,16.4,0,24.0,0,1
52,26218.0,40.0,1,54.4,1,0
53,33160.0,24.3,1,35.3,1,1
54,34442.0,25.9,1,36.0,1,0
55,37333.0,18.7,0,31.7,1,0
56,36124.0,23.0,0,36.3,1,1
57,53558.0,12.4,0,17.5,0,1
58,70879.0,8.5,0,10.2,0,1
59,25931.0,33.2,1,44.2,1,0
60,37911.0,22.4,0,31.1,1,0
61,39051.0,21.7,0,34.5,0,0
62,47868.0,20.0,0,25.1,0,1
63,37305.0,20.6,0,31.1,0,1
64,42658.0,22.4,0,31.5,1,0
65,23014.0,33.2,1,49.2,1,0
66,36497.0,18.9,0,29.3,0,0
67,57015.0,17.4,0,15.5,0,0
68,80695.0,8.5,0,8.5,0,0
69,77791.0,8.7,0,12.4,0,1
70,44849.0,24.2,0,31.5,1,0
71,66373.0,9.0,0,8.6,0,0
