FIPS,County,State,2010_Census_Population,Population_Estimate_2011,Population_Estimate_2012,Population_Estimate_2013,Population_Estimate_2014,Population_Estimate_2015,Population_Estimate_2016,Population_Estimate_2017,Population_Estimate_2018
01001,Autauga County, Alabama,"54,571","55,208","54,936","54,713","54,876","54,838","55,242","55,443","55,601"
01003,Baldwin County, Alabama,"182,265","186,540","190,143","194,886","199,189","202,995","207,712","212,619","218,022"
01005,Barbour County, Alabama,"27,457","27,350","27,174","26,944","26,758","26,294","25,819","25,158","24,881"
01007,Bibb County, Alabama,"22,915","22,747","22,664","22,516","22,541","22,562","22,576","22,555","22,400"
01009,Blount County, Alabama,"57,322","57,554","57,570","57,611","57,521","57,522","57,517","57,827","57,840"
01011,Bullock County, Alabama,"10,914","10,677","10,607","10,551","10,665","10,400","10,381","10,176","10,138"
01013,Butler County, Alabama,"20,947","20,878","20,687","20,374","20,343","20,176","20,029","19,898","19,680"
01015,Calhoun County, Alabama,"118,572","117,797","117,257","116,541","115,995","115,536","115,018","114,664","114,277"
01017,Chambers County, Alabama,"34,215","34,030","34,104","34,143","33,980","34,007","33,771","33,758","33,615"
01019,Cherokee County, Alabama,"25,989","25,994","25,963","26,025","25,902","25,739","25,776","25,815","26,032"
01021,Chilton County, Alabama,"43,643","43,687","43,582","43,634","43,769","43,717","43,896","44,117","44,153"
01023,Choctaw County, Alabama,"13,859","13,607","13,561","13,396","13,317","13,233","13,049","12,935","12,841"
01025,Clarke County, Alabama,"25,833","25,582","25,154","25,122","24,865","24,703","24,349","24,097","23,920"
01027,Clay County, Alabama,"13,932","13,686","13,432","13,404","13,440","13,413","13,393","13,367","13,275"
01029,Cleburne County, Alabama,"14,972","14,928","14,889","14,976","15,025","14,917","14,853","14,906","14,987"
01031,Coffee County, Alabama,"49,948","50,435","51,136","50,677","50,655","50,952","51,145","51,777","51,909"
01033,Colbert County, Alabama,"54,428","54,535","54,572","54,533","54,468","54,370","54,367","54,509","54,762"
01035,Conecuh County, Alabama,"13,228","13,192","13,044","12,911","12,679","12,680","12,501","12,435","12,277"
01037,Coosa County, Alabama,"11,539","11,487","11,347","11,256","11,038","10,938","10,826","10,757","10,715"
01039,Covington County, Alabama,"37,765","38,019","37,804","37,812","37,756","37,551","37,382","37,078","36,986"
01041,Crenshaw County, Alabama,"13,906","13,899","13,921","13,854","13,859","13,857","13,922","13,861","13,824"
01043,Cullman County, Alabama,"80,406","80,401","80,273","80,688","81,067","81,764","82,456","82,836","83,442"
01045,Dale County, Alabama,"50,251","50,112","50,284","49,772","49,417","49,349","49,301","49,254","48,956"
01047,Dallas County, Alabama,"43,820","43,256","42,795","41,983","41,562","40,948","40,092","39,235","38,310"
01049,DeKalb County, Alabama,"71,109","71,352","70,937","70,911","70,999","71,112","71,101","71,404","71,385"
01051,Elmore County, Alabama,"79,303","80,009","80,216","80,569","80,568","80,924","81,263","81,416","81,887"
01053,Escambia County, Alabama,"38,319","38,201","38,023","37,763","37,738","37,665","37,488","36,999","36,748"
01055,Etowah County, Alabama,"104,430","104,358","104,273","103,883","103,407","103,003","102,849","102,937","102,501"
01057,Fayette County, Alabama,"17,241","17,047","16,941","16,819","16,768","16,693","16,555","16,474","16,433"
01059,Franklin County, Alabama,"31,704","31,771","31,689","31,552","31,561","31,541","31,654","31,590","31,363"
01061,Geneva County, Alabama,"26,790","26,759","26,927","26,682","26,597","26,636","26,498","26,410","26,314"
01063,Greene County, Alabama,"9,045","8,905","8,850","8,749","8,585","8,509","8,483","8,318","8,233"
