,FIPS,County,State,2010_Census_Population,Population_Estimate_2011,Population_Estimate_2012,Population_Estimate_2013,Population_Estimate_2014,Population_Estimate_2015,Population_Estimate_2016,Population_Estimate_2017,Population_Estimate_2018
0,1001,Autauga County, Alabama,54571,55208,54936,54713,54876,54838,55242,55443,55601
1,1003,Baldwin County, Alabama,182265,186540,190143,194886,199189,202995,207712,212619,218022
2,1005,Barbour County, Alabama,27457,27350,27174,26944,26758,26294,25819,25158,24881
3,1007,Bibb County, Alabama,22915,22747,22664,22516,22541,22562,22576,22555,22400
4,1009,Blount County, Alabama,57322,57554,57570,57611,57521,57522,57517,57827,57840
5,1011,Bullock County, Alabama,10914,10677,10607,10551,10665,10400,10381,10176,10138
6,1013,Butler County, Alabama,20947,20878,20687,20374,20343,20176,20029,19898,19680
7,1015,Calhoun County, Alabama,118572,117797,117257,116541,115995,115536,115018,114664,114277
8,1017,Chambers County, Alabama,34215,34030,34104,34143,33980,34007,33771,33758,33615
9,1019,Cherokee County, Alabama,25989,25994,25963,26025,25902,25739,25776,25815,26032
10,1021,Chilton County, Alabama,43643,43687,43582,43634,43769,43717,43896,44117,44153
11,1023,Choctaw County, Alabama,13859,13607,13561,13396,13317,13233,13049,12935,12841
12,1025,Clarke County, Alabama,25833,25582,25154,25122,24865,24703,24349,24097,23920
13,1027,Clay County, Alabama,13932,13686,13432,13404,13440,13413,13393,13367,13275
14,1029,Cleburne County, Alabama,14972,14928,14889,14976,15025,14917,14853,14906,14987
15,1031,Coffee County, Alabama,49948,50435,51136,50677,50655,50952,51145,51777,51909
16,1033,Colbert County, Alabama,54428,54535,54572,54533,54468,54370,54367,54509,54762
17,1035,Conecuh County, Alabama,13228,13192,13044,12911,12679,12680,12501,12435,12277
18,1037,Coosa County, Alabama,11539,11487,11347,11256,11038,10938,10826,10757,10715
19,1039,Covington County, Alabama,37765,38019,37804,37812,37756,37551,37382,37078,36986
20,1041,Crenshaw County, Alabama,13906,13899,13921,13854,13859,13857,13922,13861,13824
21,1043,Cullman County, Alabama,80406,80401,80273,80688,81067,81764,82456,82836,83442
22,1045,Dale County, Alabama,50251,50112,50284,49772,49417,49349,49301,49254,48956
23,1047,Dallas County, Alabama,43820,43256,42795,41983,41562,40948,40092,39235,38310
24,1049,DeKalb County, Alabama,71109,71352,70937,70911,70999,71112,71101,71404,71385
25,1051,Elmore County, Alabama,79303,80009,80216,80569,80568,80924,81263,81416,81887
26,1053,Escambia County, Alabama,38319,38201,38023,37763,37738,37665,37488,36999,36748
27,1055,Etowah County, Alabama,104430,104358,104273,103883,103407,103003,102849,102937,102501
28,1057,Fayette County, Alabama,17241,17047,16941,16819,16768,16693,16555,16474,16433
29,1059,Franklin County, Alabama,31704,31771,31689,31552,31561,31541,31654,31590,31363
30,1061,Geneva County, Alabama,26790,26759,26927,26682,26597,26636,26498,26410,26314
31,1063,Greene County, Alabama,9045,8905,8850,8749,8585,8509,8483,8318,8233
32,1065,Hale County, Alabama,15760,15358,15360,15247,15047,15018,14835,14809,14726
33,1067,Henry County, Alabama,17302,17377,17156,17132,17082,17106,17083,17140,17209
34,1069,Houston County, Alabama,101547,102470,103365,103638,104156,104268,104239,104373,104722
35,1071,Jackson County, Alabama,53227,53209,53077,52958,52562,52218,52048,51907,51736
36,1073,Jefferson County, Alabama,658466,657973,657967,659196,659918,660370,660326,659546,659300
37,1075,Lamar County, Alabama,14564,14287,14245,14210,14067,13925,13927,13902,13844
38,1077,Lauderdale County, Alabama,92709,92606,92664,92706,93013,92477,92457,92591,92387
39,1079,Lawrence County, Alabama,34339,34049,33807,33577,33448,33138,33233,33077,32957
40,1081,Lee County, Alabama,140247,144130,148581,151831,154545,157009,159297,161641,163941
41,1083,Limestone County, Alabama,82782,85542,87313,88910,90596,91571,92841,94076,96174
42,1085,Lowndes County, Alabama,11299,11139,10853,10665,10498,10353,10253,10104,9974
43,1087,Macon County, Alabama,21452,21281,20611,20026,19648,19306,19064,18811,18439
44,1089,Madison County, Alabama,334811,339527,342713,346633,349807,352989,356821,361665,366519
45,1091,Marengo County, Alabama,21027,20651,20367,20114,19980,19760,19516,19366,19066
46,1093,Marion County, Alabama,30776,30651,30487,30228,30202,30123,29964,29771,29763
47,1095,Marshall County, Alabama,93019,93892,94268,94370,94277,94606,95123,95609,96109
48,1097,Mobile County, Alabama,412992,413242,413922,414210,414590,414935,415499,414515,413757
49,1099,Monroe County, Alabama,23068,22796,22582,22171,21927,21717,21545,21302,21067
50,1101,Montgomery County, Alabama,229363,229168,228861,228173,227546,227244,227072,227079,225763
51,1103,Morgan County, Alabama,119490,120013,120092,119574,119458,119281,118970,118811,119089
52,1105,Perry County, Alabama,10591,10455,10171,10005,9804,9638,9528,9319,9140
53,1107,Pickens County, Alabama,19746,19354,19312,19305,20283,20776,20309,20182,19938
54,1109,Pike County, Alabama,32899,33017,33210,33713,33197,33522,33521,33435,33338
55,1111,Randolph County, Alabama,22913,22743,22534,22548,22355,22598,22508,22683,22725
56,1113,Russell County, Alabama,52947,54831,57482,59133,59211,58837,58208,57028,57781
57,1115,St. Clair County, Alabama,83593,83963,84748,85805,85995,86546,87323,87976,88690
58,1117,Shelby County, Alabama,195085,197992,200964,204108,206356,209084,211430,213729,215707
59,1119,Sumter County, Alabama,13763,13491,13441,13396,13275,13206,12974,12780,12691
