Category Name,Category Code,Subcategory Name,Variable Name,Variable Code,Geography,Units
Access and Proximity to Grocery Store,ACCESS,Overall,"Population, low access to store, 2010",LACCESS_POP10,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Overall,"Population, low access to store, 2015",LACCESS_POP15,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Overall,"Population, low access to store (% change), 2010 -15",PCH_LACCESS_POP_10_15,CNTY10,% change
Access and Proximity to Grocery Store,ACCESS,Overall,"Population, low access to store (%), 2010",PCT_LACCESS_POP10,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Overall,"Population, low access to store (%), 2015",PCT_LACCESS_POP15,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Household Resources,"Low income & low access to store, 2010",LACCESS_LOWI10,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Household Resources,"Low income & low access to store, 2015",LACCESS_LOWI15,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Household Resources,"Low income & low access to store (% change), 2010 - 15",PCH_LACCESS_LOWI_10_15,CNTY10,% change
Access and Proximity to Grocery Store,ACCESS,Household Resources,"Low income & low access to store (%), 2010",PCT_LACCESS_LOWI10,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Household Resources,"Low income & low access to store (%), 2015",PCT_LACCESS_LOWI15,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Household Resources,"Households, no car & low access to store, 2010",LACCESS_HHNV10,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Household Resources,"Households, no car & low access to store, 2015",LACCESS_HHNV15,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Household Resources,"Households, no car & low access to store (% change), 2010 - 15",PCH_LACCESS_HHNV_10_15,CNTY10,% change
Access and Proximity to Grocery Store,ACCESS,Household Resources,"Households, no car & low access to store (%), 2010",PCT_LACCESS_HHNV10,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Household Resources,"Households, no car & low access to store (%), 2015",PCT_LACCESS_HHNV15,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Household Resources,"SNAP households, low access to store, 2015",LACCESS_SNAP15,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Household Resources,"SNAP households, low access to store (%), 2015",PCT_LACCESS_SNAP15,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Demographics,"Children, low access to store, 2010",LACCESS_CHILD10,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Demographics,"Children, low access to store, 2015",LACCESS_CHILD15,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Demographics,"Children, low access to store (% change), 2010 - 15",PCH_LACCESS_CHILD_10_15,CNTY10,% change
Access and Proximity to Grocery Store,ACCESS,Demographics,"Children, low access to store (%), 2010",PCT_LACCESS_CHILD10,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Demographics,"Children, low access to store (%), 2015",PCT_LACCESS_CHILD15,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Demographics,"Seniors, low access to store, 2010",LACCESS_SENIORS10,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Demographics,"Seniors, low access to store, 2015",LACCESS_SENIORS15,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Demographics,"Seniors, low access to store (% change), 2010 -15",PCH_LACCESS_SENIORS_10_15,CNTY10,% change
Access and Proximity to Grocery Store,ACCESS,Demographics,"Seniors, low access to store (%), 2010",PCT_LACCESS_SENIORS10,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Demographics,"Seniors, low access to store (%), 2015",PCT_LACCESS_SENIORS15,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Demographics,"White, low access to store, 2015",LACCESS_WHITE15,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Demographics,"White, low access to store (%), 2015",PCT_LACCESS_WHITE15,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Demographics,"Black, low access to store, 2015",LACCESS_BLACK15,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Demographics,"Black, low access to store (%), 2015",PCT_LACCESS_BLACK15,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Demographics,"Hispanic ethnicity, low access to store, 2015",LACCESS_HISP15,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Demographics,"Hispanic ethnicity, low access to store (%), 2015",PCT_LACCESS_HISP15,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Demographics,"Asian, low access to store, 2015",LACCESS_NHASIAN15,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Demographics,"Asian, low access to store (%), 2015",PCT_LACCESS_NHASIAN15,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Demographics,"American Indian or Alaska Native, low access to store, 2015",LACCESS_NHNA15,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Demographics,"American Indian or Alaska Native, low access to store (%), 2015",PCT_LACCESS_NHNA15,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Demographics,"Hawaiian or Pacific Islander, low access to store, 2015",LACCESS_NHPI15,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Demographics,"Hawaiian or Pacific Islander, low access to store (%), 2015",PCT_LACCESS_NHPI15,CNTY10,Percent
Access and Proximity to Grocery Store,ACCESS,Demographics,"Multiracial, low access to store, 2015",LACCESS_MULTIR15,CNTY10,Count
Access and Proximity to Grocery Store,ACCESS,Demographics,"Multiracial, low access to store (%), 2015",PCT_LACCESS_MULTIR15,CNTY10,Percent
Store Availability,STORES,Grocery,"Grocery stores, 2011",GROC11,CNTY10,Count
Store Availability,STORES,Grocery,"Grocery stores, 2016",GROC16,CNTY10,Count
Store Availability,STORES,Grocery,"Grocery stores (% change), 2011-16",PCH_GROC_11_16,CNTY10,% change
Store Availability,STORES,Grocery,"Grocery stores/1,000 pop, 2011",GROCPTH11,CNTY10,"# per 1,000 pop"
Store Availability,STORES,Grocery,"Grocery stores/1,000 pop, 2016",GROCPTH16,CNTY10,"# per 1,000 pop"
Store Availability,STORES,Grocery,"Grocery stores/1,000 pop (% change), 2011-16",PCH_GROCPTH_11_16,CNTY10,% change
Store Availability,STORES,Supercenters,"Supercenters & club stores, 2011",SUPERC11,CNTY10,Count
Store Availability,STORES,Supercenters,"Supercenters & club stores, 2016",SUPERC16,CNTY10,Count
Store Availability,STORES,Supercenters,"Supercenters & club stores (% change), 2011-16",PCH_SUPERC_11_16,CNTY10,% change
Store Availability,STORES,Supercenters,"Supercenters & club stores/1,000 pop, 2011",SUPERCPTH11,CNTY10,"# per 1,000 pop"
Store Availability,STORES,Supercenters,"Supercenters & club stores/1,000 pop, 2016",SUPERCPTH16,CNTY10,"# per 1,000 pop"
Store Availability,STORES,Supercenters,"Supercenters & club stores/1,000 pop (% change), 2011-16",PCH_SUPERCPTH_11_16,CNTY10,% change
Store Availability,STORES,Convenience,"Convenience stores, 2011",CONVS11,CNTY10,Count
Store Availability,STORES,Convenience,"Convenience stores, 2016",CONVS16,CNTY10,Count
Store Availability,STORES,Convenience,"Convenience stores (% change), 2011-16",PCH_CONVS_11_16,CNTY10,% change
Store Availability,STORES,Convenience,"Convenience stores/1,000 pop, 2011",CONVSPTH11,CNTY10,"# per 1,000 pop"
Store Availability,STORES,Convenience,"Convenience stores/1,000 pop, 2016",CONVSPTH16,CNTY10,"# per 1,000 pop"
Store Availability,STORES,Convenience,"Convenience stores/1,000 pop (% change), 2011-16",PCH_CONVSPTH_11_16,CNTY10,% change
Store Availability,STORES,Specialized,"Specialized food stores, 2011",SPECS11,CNTY10,Count
Store Availability,STORES,Specialized,"Specialized food stores, 2016",SPECS16,CNTY10,Count
Store Availability,STORES,Specialized,"Specialized food stores (% change), 2011-16",PCH_SPECS_11_16,CNTY10,% change
Store Availability,STORES,Specialized,"Specialized food stores/1,000 pop, 2011",SPECSPTH11,CNTY10,"# per 1,000 pop"
Store Availability,STORES,Specialized,"Specialized food stores/1,000 pop, 2016",SPECSPTH16,CNTY10,"# per 1,000 pop"
Store Availability,STORES,Specialized,"Specialized food stores/1,000 pop (% change), 2011-16",PCH_SPECSPTH_11_16,CNTY10,% change
Store Availability,STORES,SNAP-authorized,"SNAP-authorized stores, 2012",SNAPS12,CNTY10,Count
Store Availability,STORES,SNAP-authorized,"SNAP-authorized stores, 2017",SNAPS17,CNTY10,Count
Store Availability,STORES,SNAP-authorized,"SNAP-authorized stores (% change), 2012-17",PCH_SNAPS_12_17,CNTY10,% change
Store Availability,STORES,SNAP-authorized,"SNAP-authorized stores/1,000 pop, 2012",SNAPSPTH12,CNTY10,"# per 1,000 pop"
Store Availability,STORES,SNAP-authorized,"SNAP-authorized stores/1,000 pop, 2017",SNAPSPTH17,CNTY10,"# per 1,000 pop"
Store Availability,STORES,SNAP-authorized,"SNAP-authorized stores/1,000 pop (% change), 2012-17",PCH_SNAPSPTH_12_17,CNTY10,% change
Store Availability,STORES,WIC-authorized,"WIC-authorized stores, 2011",WICS11,CNTY10,Count
Store Availability,STORES,WIC-authorized,"WIC-authorized stores, 2016",WICS16,CNTY10,Count
Store Availability,STORES,WIC-authorized,"WIC-authorized stores (% change), 2011-16",PCH_WICS_11_16,CNTY10,% change
Store Availability,STORES,WIC-authorized,"WIC-authorized stores/1,000 pop, 2011",WICSPTH11,CNTY10,"# per 1,000 pop"
Store Availability,STORES,WIC-authorized,"WIC-authorized stores/1,000 pop, 2016",WICSPTH16,CNTY10,"# per 1,000 pop"
Store Availability,STORES,WIC-authorized,"WIC-authorized stores/1,000 pop (% change), 2011-16",PCH_WICSPTH_11_16,CNTY10,% change
Restaurant Availability and Expenditures,RESTAURANTS,Fast-food,"Fast-food restaurants, 2011",FFR11,CNTY10,Count
Restaurant Availability and Expenditures,RESTAURANTS,Fast-food,"Fast-food restaurants, 2016",FFR16,CNTY10,Count
Restaurant Availability and Expenditures,RESTAURANTS,Fast-food,"Fast-food restaurants (% change), 2011-16",PCH_FFR_11_16,CNTY10,% change
Restaurant Availability and Expenditures,RESTAURANTS,Fast-food,"Fast-food restaurants/1,000 pop, 2011",FFRPTH11,CNTY10,"# per 1,000 pop"
Restaurant Availability and Expenditures,RESTAURANTS,Fast-food,"Fast-food restaurants/1,000 pop, 2016",FFRPTH16,CNTY10,"# per 1,000 pop"
Restaurant Availability and Expenditures,RESTAURANTS,Fast-food,"Fast-food restaurants/1,000 pop (% change), 2011-16",PCH_FFRPTH_11_16,CNTY10,% change
Restaurant Availability and Expenditures,RESTAURANTS,Full-service,"Full-service restaurants, 2011",FSR11,CNTY10,Count
Restaurant Availability and Expenditures,RESTAURANTS,Full-service,"Full-service restaurants, 2016",FSR16,CNTY10,Count
Restaurant Availability and Expenditures,RESTAURANTS,Full-service,"Full-service restaurants (% change), 2011-16",PCH_FSR_11_16,CNTY10,% change
Restaurant Availability and Expenditures,RESTAURANTS,Full-service,"Full-service restaurants/1,000 pop, 2011",FSRPTH11,CNTY10,Count
Restaurant Availability and Expenditures,RESTAURANTS,Full-service,"Full-service restaurants/1,000 pop, 2016",FSRPTH16,CNTY10,Count
Restaurant Availability and Expenditures,RESTAURANTS,Full-service,"Full-service restaurants/1,000 pop (% change), 2011-16",PCH_FSRPTH_11_16,CNTY10,% change
Restaurant Availability and Expenditures,RESTAURANTS,Expenditures,"Expenditures per capita, fast food, 2007*",PC_FFRSALES07,CNTY10,Dollars
Restaurant Availability and Expenditures,RESTAURANTS,Expenditures,"Expenditures per capita, fast food, 2012*",PC_FFRSALES12,CNTY10,Dollars
Restaurant Availability and Expenditures,RESTAURANTS,Expenditures,"Expenditures per capita, restaurants, 2007*",PC_FSRSALES07,CNTY10,Dollars
Restaurant Availability and Expenditures,RESTAURANTS,Expenditures,"Expenditures per capita, restaurants, 2012*",PC_FSRSALES12,CNTY10,Dollars
Food Assistance,ASSISTANCE,SNAP,"SNAP redemptions/SNAP-authorized stores, 2012",REDEMP_SNAPS12,CNTY10,Dollars/store
Food Assistance,ASSISTANCE,SNAP,"SNAP redemptions/SNAP-authorized stores, 2017",REDEMP_SNAPS17,CNTY10,Dollars/store
Food Assistance,ASSISTANCE,SNAP,"SNAP redemptions/SNAP-authorized stores (% change), 2012-17",PCH_REDEMP_SNAPS_12_17,CNTY10,% change
Food Assistance,ASSISTANCE,SNAP,"SNAP participants (% pop), 2012*",PCT_SNAP12,CNTY10,Percent
Food Assistance,ASSISTANCE,SNAP,"SNAP participants (% pop), 2017*",PCT_SNAP17,CNTY10,Percent
Food Assistance,ASSISTANCE,SNAP,"SNAP participants (change % pop), 2012-17*",PCH_SNAP_12_17,CNTY10,Percentage points
Food Assistance,ASSISTANCE,SNAP,"SNAP benefits per capita, 2012",PC_SNAPBEN12,CNTY10,Dollars/capita
Food Assistance,ASSISTANCE,SNAP,"SNAP benefits per capita, 2017",PC_SNAPBEN17,CNTY10,Dollars/capita
Food Assistance,ASSISTANCE,SNAP,"SNAP benefits per capita (% change), 2012-17",PCH_PC_SNAPBEN_12_17,CNTY10,% change
Food Assistance,ASSISTANCE,SNAP,"SNAP participants (% eligible pop), 2011*",SNAP_PART_RATE11,CNTY10,Percent
Food Assistance,ASSISTANCE,SNAP,"SNAP participants (% eligible pop), 2016*",SNAP_PART_RATE16,CNTY10,Percent
Food Assistance,ASSISTANCE,SNAP,"SNAP online application, 2009*",SNAP_OAPP09,CNTY10,Classification
Food Assistance,ASSISTANCE,SNAP,"SNAP online application, 2016*",SNAP_OAPP16,CNTY10,Classification
Food Assistance,ASSISTANCE,SNAP,"SNAP Combined Application Project , 2009*",SNAP_CAP09,CNTY10,Classification
Food Assistance,ASSISTANCE,SNAP,"SNAP Combined Application Project , 2016*",SNAP_CAP16,CNTY10,Classification
Food Assistance,ASSISTANCE,SNAP,"SNAP Broad-based Categorical Eligibility, 2009*",SNAP_BBCE09,CNTY10,Classification
Food Assistance,ASSISTANCE,SNAP,"SNAP Broad-based Categorical Eligibility, 2016*",SNAP_BBCE16,CNTY10,Classification
Food Assistance,ASSISTANCE,SNAP,"SNAP simplified reporting, 2009*",SNAP_REPORTSIMPLE09,CNTY10,Classification
Food Assistance,ASSISTANCE,SNAP,"SNAP simplified reporting, 2016*",SNAP_REPORTSIMPLE16,CNTY10,Classification
Food Assistance,ASSISTANCE,National School Lunch Program,"National School Lunch Program participants (% children), 2012*",PCT_NSLP12,CNTY10,Percent
Food Assistance,ASSISTANCE,National School Lunch Program,"National School Lunch Program participants (% children), 2017*",PCT_NSLP17,CNTY10,Percent
Food Assistance,ASSISTANCE,National School Lunch Program,"National School Lunch Program participants (change % children), 2012-17*",PCH_NSLP_12_17,CNTY10,Percentage points
Food Assistance,ASSISTANCE,National School Lunch Program,"Students eligible for free lunch (%), 2010",PCT_FREE_LUNCH10,CNTY10,Percent
Food Assistance,ASSISTANCE,National School Lunch Program,"Students eligible for free lunch (%), 2015",PCT_FREE_LUNCH15,CNTY10,Percent
Food Assistance,ASSISTANCE,National School Lunch Program,"Students eligible for reduced-price lunch (%), 2010",PCT_REDUCED_LUNCH10,CNTY10,Percent
Food Assistance,ASSISTANCE,National School Lunch Program,"Students eligible for reduced-price lunch (%), 2015",PCT_REDUCED_LUNCH15,CNTY10,Percent
Food Assistance,ASSISTANCE,School Breakfast Program,"School Breakfast Program participants (% children), 2012*",PCT_SBP12,CNTY10,Percent
Food Assistance,ASSISTANCE,School Breakfast Program,"School Breakfast Program participants (% children), 2017*",PCT_SBP17,CNTY10,Percent
Food Assistance,ASSISTANCE,School Breakfast Program,"School Breakfast Program participants (change % children), 2012-17*",PCH_SBP_12_17,CNTY10,Percentage points
Food Assistance,ASSISTANCE,Summer Food Service Program,"Summer Food Service Program participants (% children), 2012*",PCT_SFSP12,CNTY10,Percent
Food Assistance,ASSISTANCE,Summer Food Service Program,"Summer Food Service Program participants (% children), 2017*",PCT_SFSP17,CNTY10,Percent
Food Assistance,ASSISTANCE,Summer Food Service Program,"Summer Food Program participants (change % children), 2012-17*",PCH_SFSP_12_17,CNTY10,Percentage points
Food Assistance,ASSISTANCE,WIC,"WIC redemptions per capita, 2011",PC_WIC_REDEMP11,CNTY10,Dollars/capita
Food Assistance,ASSISTANCE,WIC,"WIC redemptions per capita, 2016",PC_WIC_REDEMP16,CNTY10,Dollars/capita
Food Assistance,ASSISTANCE,WIC,"WIC redemptions per capita (% change), 2011-16",PCH_PC_WIC_REDEMP_11_16,CNTY10,% change
Food Assistance,ASSISTANCE,WIC,"WIC redemptions/WIC-authorized stores, 2011",REDEMP_WICS11,CNTY10,Dollars/store
Food Assistance,ASSISTANCE,WIC,"WIC redemptions/WIC-authorized stores, 2016",REDEMP_WICS16,CNTY10,Dollars/store
