GEOID10,CountyCode,CountyName,Food_Desert_Tot_Pop,Food_Desert_Pct_Lowa_Pop,Food_Desert_lowa_Pop,Food_Desert_Pct_Lowi,Food_Desert_Lowi,Food_Desert_Pct_Hunv,Food_Desert_Hunv,Food_Desert_Pct_Kids,Food_Desert_Kids,Food_Desert_Pct_Seniors,Food_Desert_Seniors,Food_Desert_mrfei,Spatial_Measures_grocerystore_Density,Spatial_Measures_fastfood_Density,Spatial_Measures_grocerystore_Distance,Spatial_Measures_fastfood_Distance,Spatial_Measures_Liquor_Density,Spatial_Measures_Liquor_Distance
26049000100,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.66666667,NA,0.150000,NA,0.620000,0.650000,0.410000
26049000200,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22222222,NA,0.440000,NA,0.560000,2.990000,0.280000
26049000300,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1.210000,NA,0.470000,3.410000,0.230000
26049000400,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,1.810000,NA,0.400000,6.600000,0.220000
26049000500,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,2.360000,NA,0.450000,5.220000,0.200000
26049000600,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.28571429,NA,0.770000,NA,0.510000,9.120000,0.160000
26049000700,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,4.670000,NA,0.440000,7.300000,0.200000
26049000800,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33333333,NA,0.090000,NA,0.650000,2.060000,0.260000
26049000900,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.580000,NA,0.380000,5.600000,0.250000
26049001000,26049,Genesse,3861,100,3861,36.3,1388,23.3,302,35.6,1375,9.5,368,0,NA,0.090000,NA,0.650000,3.810000,0.220000
26049001100,26049,Genesse,3419,53.2,1820,18.3,619,11.1,138,17,581,6.7,229,0,NA,0.000000,NA,0.840000,5.250000,0.200000
26049001200,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1.130000,NA,0.470000,3.470000,0.310000
26049001300,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.750000,NA,0.400000,6.930000,0.180000
26049001400,26049,Genesse,2210,100,2210,42.4,960,34.8,258,37.9,838,8.2,182,0,NA,0.780000,NA,0.380000,3.820000,0.210000
26049001500,26049,Genesse,2515,38.2,961,19.8,459,17.4,157,12.4,312,3,74,0,NA,0.810000,NA,0.480000,3.050000,0.240000
26049001600,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.166666667,NA,0.270000,NA,0.550000,3.490000,0.280000
26049001700,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.38461538,NA,0.400000,NA,0.590000,2.520000,0.380000
26049001800,26049,Genesse,2354,83.3,1962,41.6,994,22,182,33.6,791,3.9,91,0,NA,0.130000,NA,1.010000,0.640000,0.570000
26049001900,26049,Genesse,2513,60.5,1521,21.5,487,5.6,51,21.7,545,3.5,88,0,NA,0.190000,NA,0.710000,2.500000,0.410000
26049002000,26049,Genesse,2072,33.4,691,13,294,12.6,114,10.9,226,6.9,142,0,NA,1.070000,NA,0.430000,8.880000,0.180000
26049002200,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.333333333,NA,0.630000,NA,0.510000,6.420000,0.230000
26049002300,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33333333,NA,2.500000,NA,0.420000,12.890000,0.150000
26049002400,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.490000,NA,0.300000,4.960000,0.230000
26049002600,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.75,NA,3.100000,NA,0.310000,5.700000,0.250000
26049002700,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.555555556,NA,5.460000,NA,0.300000,6.590000,0.220000
26049002800,26049,Genesse,2595,100,2595,44.9,870,32.7,278,16.8,437,4.6,119,6.25,NA,7.290000,NA,0.200000,14.070000,0.200000
26049002900,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11111111,NA,0.130000,NA,0.480000,5.920000,0.190000
26049003000,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1.520000,NA,0.470000,4.830000,0.220000
26049003100,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.430000,NA,0.320000,6.340000,0.210000
26049003200,26049,Genesse,2908,83.9,2440,28.7,808,14.1,168,29.5,857,12.9,375,0,NA,3.800000,NA,0.480000,3.450000,0.280000
26049003200,26049,Genesse,2980,30.3,903,1.9,55,0.6,7,8.1,240,3.8,112,NA,NA,3.800000,NA,0.480000,NA,0.280000
26049003300,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.000000,NA,0.340000,3.920000,0.230000
26049003400,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5.230000,NA,0.300000,9.270000,0.190000
26049003500,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1.640000,NA,0.350000,9.370000,0.180000
26049003600,26049,Genesse,5123,36.7,1883,2.7,139,1.3,29,7.6,389,6.2,316,4.761904762,NA,5.960000,NA,0.390000,5.440000,0.240000
26049003700,26049,Genesse,3240,100,3240,19.3,616,13.7,188,26.9,870,8.9,287,0,NA,0.030000,NA,0.600000,2.570000,0.260000
26049003800,26049,Genesse,2008,100,2008,25.8,525,13.6,105,32.3,649,7.5,151,0,NA,1.770000,NA,0.430000,10.200000,0.180000
26049004000,26049,Genesse,3892,39.7,1545,6.5,250,4.4,72,11.4,442,3.1,121,10.52631579,NA,4.640000,NA,0.300000,8.870000,0.230000
26049010110,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.66666667,NA,3.010000,NA,0.250000,5.220000,0.230000
26049010111,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.830000,NA,1.530000,0.220000,0.880000
26049010112,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.140000,NA,1.600000,1.110000,0.720000
26049010113,26049,Genesse,2245,42.5,955,4.3,95,2.2,21,10.4,233,6.2,140,16.66666667,NA,0.290000,NA,1.120000,1.060000,0.510000
26049010114,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,NA,1.800000,NA,0.930000,0.890000,0.650000
26049010115,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,1.760000,0.100000,0.940000
26049010201,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.140000,NA,1.830000,0.400000,0.940000
26049010202,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.290000,NA,1.660000,0.450000,1.070000
26049010304,26049,Genesse,4950,38.8,1919,10.8,545,5.8,100,14.7,729,3,148,20,NA,0.610000,NA,0.640000,2.630000,0.300000
26049010305,26049,Genesse,5617,51.5,2895,12.5,689,2.6,50,19.9,1117,3.9,218,7.692307692,NA,0.670000,NA,0.910000,1.490000,0.440000
26049010501,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1.470000,NA,0.470000,1.380000,0.430000
26049010502,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33333333,NA,1.620000,NA,0.610000,1.840000,0.470000
26049010503,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,2.680000,0.450000,0.710000
26049010504,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,0.110000,NA,1.710000,0.680000,0.610000
26049010603,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11111111,NA,3.570000,NA,0.370000,5.510000,0.380000
26049010604,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.090909091,NA,1.910000,NA,0.450000,2.880000,0.430000
26049010610,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,2.250000,0.310000,0.810000
26049010700,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11111111,NA,0.000000,NA,2.650000,0.030000,1.860000
26049010810,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,1.360000,0.250000,0.830000
26049010811,26049,Genesse,2505,95.8,2400,20,475,12.1,117,26.5,664,17.4,436,0,NA,0.000000,NA,1.100000,0.440000,0.590000
26049010812,26049,Genesse,4645,17,789,4.1,185,1.4,26,4.6,214,2.6,121,0,NA,1.190000,NA,0.680000,2.710000,0.280000
26049010813,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33333333,NA,2.040000,NA,0.710000,1.890000,0.580000
26049010910,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,3.770000,NA,0.350000,4.680000,0.350000
26049010911,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.166666667,NA,5.490000,NA,0.300000,3.670000,0.300000
26049010912,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.142857143,NA,4.340000,NA,0.470000,3.770000,0.410000
26049011010,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.64705882,NA,6.290000,NA,0.400000,3.590000,0.330000
26049011101,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.333333333,NA,0.600000,NA,0.680000,0.910000,0.570000
26049011102,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.280000,NA,1.320000,0.240000,1.240000
26049011209,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.83333333,NA,3.180000,NA,0.450000,2.650000,0.390000
26049011210,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.72727273,NA,11.760000,NA,0.220000,7.560000,0.260000
26049011211,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.333333333,NA,2.120000,NA,0.630000,2.250000,0.520000
26049011212,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.81481481,NA,3.240000,NA,0.370000,6.040000,0.270000
26049011213,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0.160000,NA,1.020000,0.330000,0.660000
26049011214,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0.180000,NA,0.900000,0.580000,0.760000
26049011301,26049,Genesse,5978,13.5,806,1.2,70,0.5,13,4.2,248,1.1,64,17.39130435,NA,3.310000,NA,0.320000,5.080000,0.240000
26049011302,26049,Genesse,3869,57.8,2235,8,308,2.7,38,17.4,674,4.8,184,0,NA,3.350000,NA,0.320000,4.320000,0.320000
26049011401,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.142857143,NA,0.230000,NA,0.880000,1.890000,0.400000
26049011402,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,0.000000,NA,1.860000,0.420000,0.610000
26049011502,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.04761905,NA,0.980000,NA,0.710000,1.620000,0.470000
26049011503,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.66666667,NA,0.770000,NA,0.860000,1.370000,0.520000
26049011505,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1.850000,NA,0.480000,2.540000,0.420000
26049011508,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.52631579,NA,1.710000,NA,0.620000,1.850000,0.400000
26049011601,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.040000,NA,2.240000,0.190000,1.190000
26049011610,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.333333333,NA,0.520000,NA,0.790000,1.040000,0.590000
26049011710,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5.340000,NA,0.320000,4.280000,0.320000
26049011711,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2.860000,NA,0.350000,4.100000,0.330000
26049011712,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.660000,NA,1.350000,0.950000,0.720000
26049011713,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,NA,2.160000,NA,0.730000,0.900000,0.650000
26049011714,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.840000,NA,0.800000,1.460000,0.530000
26049011800,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.180000,NA,1.130000,0.250000,0.880000
26049011901,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.060000,NA,1.980000,0.080000,1.540000
26049011902,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.040000,NA,1.790000,0.280000,1.170000
26049012003,26049,Genesse,3562,40.2,1431,6.5,228,1.8,23,14.4,512,2.5,89,0,NA,0.000000,NA,1.320000,0.550000,0.920000
26049012006,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11111111,NA,1.910000,NA,0.560000,3.050000,0.310000
26049012007,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,1.670000,0.180000,0.730000
26049012008,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0.450000,NA,1.290000,1.410000,0.620000
26049012009,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0.000000,NA,1.600000,0.000000,1.230000
26049012100,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.430000,NA,1.170000,0.290000,0.910000
26049012201,26049,Genesse,3446,26.1,899,4.3,145,2.3,37,3.5,119,8.7,301,9.090909091,NA,0.470000,NA,0.680000,1.110000,0.460000
26049012202,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0.270000,NA,0.960000,2.310000,0.330000
26049012310,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.18181818,NA,8.430000,NA,0.330000,5.270000,0.350000
26049012311,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33333333,NA,2.220000,NA,0.370000,1.930000,0.360000
26049012401,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,2.240000,0.080000,1.810000
26049012402,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0.210000,NA,2.360000,0.410000,1.440000
26049012501,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,3.670000,0.110000,1.470000
26049012503,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,2.210000,0.230000,1.060000
26049012504,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,3.180000,0.270000,0.820000
26049012601,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.28571429,NA,0.030000,NA,2.180000,0.140000,1.740000
26049012602,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.340000,NA,0.310000,3.690000,0.270000
26049012603,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.28571429,NA,0.020000,NA,2.130000,0.200000,1.010000
26049012702,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.38461538,NA,2.970000,NA,0.440000,2.020000,0.350000
26049012703,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11111111,NA,0.050000,NA,2.040000,0.110000,1.460000
26049012704,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.010000,NA,1.870000,0.150000,1.330000
26049012801,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,3.790000,0.130000,1.450000
26049012802,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33333333,NA,0.080000,NA,2.460000,0.080000,1.340000
26049012904,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0.480000,NA,0.840000,0.410000,0.830000
26049012905,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,1.560000,NA,0.650000,1.570000,0.660000
26049012906,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.080000,NA,1.430000,0.250000,0.850000
26049012907,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.080000,NA,1.560000,0.090000,1.490000
26049013001,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,3.820000,0.040000,1.930000
26049013002,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.090000,NA,1.270000,0.470000,1.050000
26049013110,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,0.040000,NA,1.730000,0.040000,1.380000
26049013111,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.030000,NA,1.250000,0.270000,0.620000
26049013112,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,0.450000,NA,0.950000,0.200000,0.920000
26049013113,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2.910000,NA,0.510000,3.320000,0.360000
26049013202,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.590000,NA,0.470000,5.140000,0.430000
26049013204,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,NA,5.300000,NA,0.350000,5.190000,0.330000
26049013301,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.310000,NA,1.130000,1.260000,0.640000
26049013401,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,0.000000,NA,1.940000,0.060000,1.370000
26049013402,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,3.110000,NA,0.440000,3.110000,0.380000
26049013500,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.870000,NA,0.550000,6.260000,0.260000
26049013600,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.090000,NA,0.570000,1.370000,0.310000
26049980000,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200000,NA,0.750000,0.490000,0.650000
26049980100,26049,Genesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.770000,NA,0.580000,0.840000,0.380000
26087330000,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33333333,NA,0.000000,NA,6.630000,0.040000,2.360000
26087330500,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.030000,NA,3.390000,0.040000,2.270000
26087331000,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33333333,NA,0.000000,NA,3.700000,0.200000,2.010000
26087331500,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.050000,NA,1.940000,0.150000,1.700000
26087332000,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0.060000,NA,1.700000,0.140000,1.510000
26087332500,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33333333,NA,0.060000,NA,2.730000,0.190000,2.200000
26087333000,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,4.840000,0.120000,1.640000
26087333500,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,3.210000,0.290000,1.110000
26087334000,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,2.660000,0.350000,1.000000
26087334500,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,2.810000,0.060000,1.420000
26087336000,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.030000,NA,2.230000,0.210000,1.310000
26087336500,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,NA,1.270000,0.000000,0.820000
26087337000,26087,Lapeer,4547,27.7,1258,2,69,2.3,38,4.9,222,3.5,160,17.64705882,NA,3.420000,NA,0.750000,3.470000,0.350000
26087337500,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,4.830000,NA,0.420000,8.820000,0.330000
26087338000,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0.030000,NA,2.540000,0.110000,1.970000
26087338500,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030000,NA,2.230000,0.040000,1.740000
26087339000,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.38461538,NA,0.010000,NA,2.150000,0.130000,1.240000
26087339500,26087,Lapeer,3869,37.9,1468,3,113,3.9,58,10.4,403,6.1,238,12.5,NA,5.310000,NA,0.330000,6.210000,0.300000
26087340000,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0.030000,NA,1.980000,0.120000,1.400000
26087340500,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.340000,NA,0.380000,5.400000,0.410000
26087341000,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.030000,NA,3.010000,0.170000,1.830000
26087341500,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0.110000,NA,2.580000,0.260000,1.550000
26087342000,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.060000,NA,2.350000,0.030000,1.940000
26087342100,26087,Lapeer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,NA,2.810000,0.080000,1.440000
26091060100,26091,Lenawee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,4.990000,0.040000,2.240000
26091060301,26091,Lenawee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,NA,3.150000,0.080000,1.610000
26091060302,26091,Lenawee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100000,NA,1.890000,0.270000,1.060000
26091060401,26091,Lenawee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,NA,3.920000,0.310000,1.090000
26091060402,26091,Lenawee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.080000,NA,2.560000,0.150000,1.980000
26091060500,26091,Lenawee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,4.470000,0.040000,2.330000
26091060600,26091,Lenawee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.140000,NA,2.150000,0.110000,1.750000
26091060700,26091,Lenawee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.030000,NA,1.910000,0.220000,1.080000
26091060800,26091,Lenawee,3728,61.9,2307,5.8,212,4.5,69,16.1,601,7.7,286,0,NA,3.090000,NA,0.510000,3.880000,0.460000
26091061200,26091,Lenawee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,2.910000,0.030000,1.910000
26091061301,26091,Lenawee,5424,51,2766,9,371,2.6,36,8.7,473,8,432,0,NA,0.780000,NA,0.450000,2.550000,0.450000
26091061302,26091,Lenawee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.470000,NA,0.280000,11.930000,0.180000
26091061400,26091,Lenawee,3916,29.1,1138,1.8,60,2.3,36,6.3,246,4.5,175,0,NA,2.650000,NA,0.450000,5.220000,0.410000
26091061500,26091,Lenawee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.290000,NA,0.330000,3.850000,0.280000
26091061600,26091,Lenawee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,7.980000,NA,0.300000,10.010000,0.230000
26091061700,26091,Lenawee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.53846154,NA,0.220000,NA,2.220000,0.210000,1.690000
26091061800,26091,Lenawee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.150000,NA,3.240000,0.190000,1.850000
26091061900,26091,Lenawee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.020000,NA,4.440000,0.110000,2.850000
26091062000,26091,Lenawee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000000,NA,6.230000,0.010000,3.630000
